date,PREC_DAILY,TMAX_DAILY,TMIN_DAILY,WTEQ_DAILY
1988-01-08,9.0,,,8.8
1988-01-09,9.2,,,8.9
1988-01-10,10.7,,,10.4
1988-01-11,11.5,,,11.2
1988-01-12,11.5,,,11.2
1988-01-13,11.5,,,11.2
1988-01-14,11.5,,,11.2
1988-01-15,12.4,,,12.1
1988-01-16,12.4,,,12.1
1988-01-17,12.6,,,12.4
1988-01-18,12.6,,,12.4
1988-01-19,12.6,,,12.4
1988-01-20,12.6,,,12.4
1988-01-21,12.6,,,12.4
1988-01-22,12.6,,,12.4
1988-01-23,12.6,,,12.4
1988-01-24,12.7,,,12.4
1988-01-25,12.7,,,12.4
1988-01-26,12.8,,,12.4
1988-01-27,12.8,,,12.4
1988-01-28,12.9,,,12.4
1988-01-29,13.6,,,12.9
1988-01-30,13.8,,,13.3
1988-01-31,13.9,,,13.4
1988-02-01,13.9,,,13.4
1988-02-02,13.9,,,13.4
1988-02-03,14.0,,,13.6
1988-02-04,14.0,,,13.6
1988-02-05,14.0,,,13.6
1988-02-06,14.0,,,13.6
1988-02-07,14.4,,,13.7
1988-02-08,14.8,,,14.1
1988-02-09,15.7,,,15.1
1988-02-10,15.8,,,15.3
1988-02-11,15.8,,,15.3
1988-02-12,16.0,,,15.4
1988-02-13,16.3,,,15.8
1988-02-14,16.3,,,15.8
1988-02-15,16.8,,,16.5
1988-02-16,17.0,,,16.8
1988-02-17,17.1,,,16.8
1988-02-18,17.1,,,16.8
1988-02-19,17.1,,,16.8
1988-02-20,17.1,,,16.8
1988-02-21,17.3,,,16.8
1988-02-22,17.3,,,16.8
1988-02-23,17.3,,,16.8
1988-02-24,17.3,,,16.8
1988-02-25,17.3,,,16.8
1988-02-26,17.3,,,16.8
1988-02-27,17.3,,,16.8
1988-02-28,17.3,,,16.8
1988-02-29,17.3,,,16.8
1988-03-01,17.6,,,17.1
1988-03-02,17.6,,,17.1
1988-03-03,18.1,,,17.6
1988-03-04,18.1,,,17.6
1988-03-05,18.1,,,17.6
1988-03-06,18.8,,,18.5
1988-03-07,18.8,,,18.6
1988-03-08,19.0,,,18.6
1988-03-09,19.1,,,18.8
1988-03-10,19.3,,,19.1
1988-03-11,19.3,,,19.1
1988-03-12,19.3,,,19.1
1988-03-13,19.3,,,19.1
1988-03-14,19.3,,,19.1
1988-03-15,19.5,,,19.3
1988-03-16,19.5,,,19.3
1988-03-17,19.5,,,19.3
1988-03-18,19.5,,,19.1
1988-03-19,19.5,,,19.1
1988-03-20,19.5,,,19.1
1988-03-21,20.0,,,19.3
1988-03-22,20.1,,,19.6
1988-03-23,20.8,,,20.3
1988-03-24,21.1,,,20.6
1988-03-25,21.3,,,20.6
1988-03-26,21.6,,,20.8
1988-03-27,21.8,,,21.3
1988-03-28,21.8,,,21.5
1988-03-29,22.0,,,21.6
1988-03-30,22.0,,,21.6
1988-03-31,22.1,,,21.6
1988-04-01,22.1,,,21.6
1988-04-02,22.1,,,21.6
1988-04-03,22.5,,,21.8
1988-04-04,22.8,,,22.3
1988-04-05,23.0,,,22.3
1988-04-06,23.0,,,22.3
1988-04-07,23.1,,,22.3
1988-04-08,23.3,,,22.6
1988-04-09,23.3,,,22.6
1988-04-10,23.5,,,22.6
1988-04-11,23.5,,,22.6
1988-04-12,23.5,,,22.6
1988-04-13,23.5,,,22.6
1988-04-14,23.5,,,22.3
1988-04-15,23.5,,,21.8
1988-04-16,23.5,,,21.1
1988-04-17,23.5,,,20.8
1988-04-18,23.6,,,20.8
1988-04-19,23.6,,,20.8
1988-04-20,24.0,,,21.1
1988-04-21,24.6,,,21.6
1988-04-22,25.3,,,22.3
1988-04-23,25.9,,,22.8
1988-04-24,26.8,,,24.0
1988-04-25,27.3,,,24.8
1988-04-26,27.5,,,24.8
1988-04-27,27.5,,,24.6
1988-04-28,27.6,,,24.5
1988-04-29,27.6,,,24.3
1988-04-30,28.9,,,25.6
1988-05-01,29.1,,,25.8
1988-05-02,29.1,,,25.8
1988-05-03,29.1,,,25.8
1988-05-04,29.1,,,25.8
1988-05-05,29.2,,,25.8
1988-05-06,29.9,,,26.5
1988-05-07,30.6,,,27.2
1988-05-08,30.6,,,27.3
1988-05-09,30.7,,,27.4
1988-05-10,30.7,,,27.3
1988-05-11,30.7,,,26.2
1988-05-12,30.7,,,26.0
1988-05-13,30.9,,,25.9
1988-05-14,30.9,,,25.7
1988-05-15,30.9,,,25.3
1988-05-16,30.9,,,24.6
1988-05-17,31.3,,,24.6
1988-05-18,31.3,,,24.3
1988-05-19,31.3,,,24.3
1988-05-20,31.4,,,24.1
1988-05-21,31.4,,,23.6
1988-05-22,31.4,,,22.8
1988-05-23,31.5,,,21.8
1988-05-24,31.6,,,21.6
1988-05-25,31.7,,,20.5
1988-05-26,31.7,,,19.6
1988-05-27,31.7,,,19.1
1988-05-28,31.8,,,18.3
1988-05-29,31.9,,,17.8
1988-05-30,32.4,,,18.3
1988-05-31,32.5,,,18.3
1988-06-01,32.6,,,18.3
1988-06-02,32.6,,,18.1
1988-06-03,32.7,,,16.8
1988-06-04,32.7,,,15.8
1988-06-05,32.7,,,14.6
1988-06-06,32.7,,,13.4
1988-06-07,32.7,,,12.2
1988-06-08,32.7,,,11.1
1988-06-09,32.8,,,10.0
1988-06-10,32.8,,,8.8
1988-06-11,32.8,,,7.9
1988-06-12,32.8,,,7.4
1988-06-13,33.0,,,6.5
1988-06-14,33.0,,,5.5
1988-06-15,33.0,,,4.5
1988-06-16,33.1,,,3.3
1988-06-17,33.1,,,2.1
1988-06-18,33.1,,,0.9
1988-06-19,33.1,,,0.1
1988-06-20,33.1,,,0.0
1988-06-21,33.2,,,0.0
1988-06-22,33.2,,,0.0
1988-06-23,33.2,,,0.0
1988-06-24,33.2,,,0.0
1988-06-25,33.3,,,0.0
1988-06-26,33.3,,,0.0
1988-06-27,33.3,,,0.0
1988-06-28,33.3,,,0.0
1988-06-29,33.3,,,0.0
1988-06-30,33.3,,,0.0
1988-07-01,33.3,,,0.0
1988-07-02,33.3,,,0.0
1988-07-03,33.3,,,0.0
1988-07-04,33.7,,,0.0
1988-07-05,33.7,,,0.0
1988-07-06,33.7,,,0.0
1988-07-07,33.7,,,0.0
1988-07-08,33.7,,,0.0
1988-07-09,33.7,,,0.0
1988-07-10,33.7,,,0.0
1988-07-11,33.7,,,0.0
1988-07-12,33.7,,,0.0
1988-07-13,33.7,,,0.0
1988-07-14,33.7,,,0.0
1988-07-15,33.7,,,0.0
1988-07-16,33.7,,,0.0
1988-07-17,33.7,,,0.0
1988-07-18,33.7,65.1,,0.0
1988-07-19,33.7,62.1,34.3,0.0
1988-07-20,33.7,69.3,35.2,0.0
1988-07-21,33.7,73.6,42.8,0.0
