date,PREC_DAILY,TAVG_DAILY,WTEQ_DAILY
1988-01-14,12.1,,10.7
1988-01-15,12.2,,11.0
1988-01-16,12.4,,11.4
1988-01-17,12.4,,11.4
1988-01-18,12.4,,11.4
1988-01-19,12.4,,11.5
1988-01-20,12.4,,11.6
1988-01-21,12.4,,11.6
1988-01-22,13.1,,11.7
1988-01-23,13.1,,11.7
1988-01-24,13.1,,11.8
1988-01-25,13.1,,11.9
1988-01-26,13.2,,11.9
1988-01-27,13.2,,11.9
1988-01-28,13.4,,12.0
1988-01-29,14.2,,13.0
1988-01-30,14.2,,13.1
1988-01-31,14.3,,13.2
1988-02-01,14.4,,13.2
1988-02-02,14.4,,13.2
1988-02-03,14.4,,13.2
1988-02-04,14.4,,13.2
1988-02-05,14.5,,13.2
1988-02-06,14.5,,13.3
1988-02-07,14.7,,13.4
1988-02-08,15.3,,14.1
1988-02-09,15.8,,14.8
1988-02-10,15.9,,14.9
1988-02-11,15.9,,14.9
1988-02-12,16.4,,15.2
1988-02-13,16.5,,15.3
1988-02-14,16.7,,15.5
1988-02-15,17.2,,15.9
1988-02-16,17.2,,15.9
1988-02-17,17.3,,16.0
1988-02-18,17.3,,16.0
1988-02-19,17.3,,16.0
1988-02-20,17.3,,16.0
1988-02-21,17.3,,16.0
1988-02-22,17.3,,16.0
1988-02-23,17.3,,16.1
1988-02-24,17.3,,16.1
1988-02-25,17.3,,16.1
1988-02-26,17.3,,16.1
1988-02-27,17.3,,16.1
1988-02-28,17.4,,16.3
1988-02-29,17.5,,16.5
1988-03-01,17.5,,16.5
1988-03-02,17.6,,16.7
1988-03-03,17.8,,17.1
1988-03-04,18.2,,17.2
1988-03-05,18.7,,17.6
1988-03-06,19.1,,18.0
1988-03-07,19.1,,18.0
1988-03-08,19.4,,18.2
1988-03-09,19.6,,18.5
1988-03-10,19.7,,18.5
1988-03-11,19.7,,18.5
1988-03-12,19.7,,18.5
1988-03-13,19.7,,18.5
1988-03-14,19.8,,18.6
1988-03-15,19.8,,18.6
1988-03-16,19.8,,18.6
1988-03-17,19.8,,18.6
1988-03-18,19.8,,18.6
1988-03-19,19.9,,18.6
1988-03-20,19.9,,18.6
1988-03-21,20.5,,20.1
1988-03-22,20.7,,20.4
1988-03-23,21.3,,20.9
1988-03-24,21.5,,21.1
1988-03-25,21.6,,21.1
1988-03-26,21.6,,21.1
1988-03-27,21.7,,21.2
1988-03-28,21.9,,21.3
1988-03-29,22.2,,21.4
1988-03-30,22.2,,21.5
1988-03-31,22.3,,21.5
1988-04-01,22.3,,21.5
1988-04-02,22.6,,22.1
1988-04-03,23.5,,22.8
1988-04-04,23.6,,22.9
1988-04-05,23.6,,23.0
1988-04-06,23.6,,23.0
1988-04-07,23.9,,23.3
1988-04-08,23.9,,23.3
1988-04-09,24.0,,23.3
1988-04-10,24.0,,23.3
1988-04-11,24.0,,23.3
1988-04-12,24.0,,23.1
1988-04-13,24.0,,22.3
1988-04-14,24.0,,21.5
1988-04-15,24.1,,20.8
1988-04-16,24.1,,20.2
1988-04-17,24.2,32.0,19.3
1988-04-18,24.2,,18.7
1988-04-19,24.3,,18.6
1988-04-20,25.0,,18.8
1988-04-21,25.3,,19.0
1988-04-22,25.5,,19.0
1988-04-23,25.5,,19.0
1988-04-24,25.8,,19.3
1988-04-25,25.9,,19.4
1988-04-26,25.9,,19.4
1988-04-27,25.9,,19.4
1988-04-28,26.0,,19.0
1988-04-29,26.3,,18.6
1988-04-30,26.4,,18.7
1988-05-01,26.4,,18.7
1988-05-02,26.4,,18.5
1988-05-03,26.7,,18.8
1988-05-04,26.9,32.0,19.0
1988-05-05,27.1,,19.1
1988-05-06,27.7,,19.4
1988-05-07,27.8,,19.4
1988-05-08,27.9,,19.2
1988-05-09,28.1,,19.1
1988-05-10,28.2,,18.4
1988-05-11,28.2,,17.2
1988-05-12,28.4,,16.0
1988-05-13,28.5,32.0,15.0
1988-05-14,28.5,,14.5
1988-05-15,28.5,,13.5
1988-05-16,28.7,,12.3
1988-05-17,28.9,,11.7
1988-05-18,28.9,,11.3
1988-05-19,28.9,,10.6
1988-05-20,28.9,,9.7
1988-05-21,28.9,,8.7
1988-05-22,28.9,,7.1
1988-05-23,28.9,,5.5
1988-05-24,28.9,,3.9
1988-05-25,28.9,,2.4
1988-05-26,28.9,,1.0
1988-05-27,28.9,,0.7
1988-05-28,29.0,,0.0
1988-05-29,30.3,,1.2
1988-05-30,30.3,,1.2
1988-05-31,30.4,,1.2
1988-06-01,31.2,,0.9
1988-06-02,31.2,,0.1
1988-06-03,31.3,,0.0
1988-06-04,31.3,,0.0
1988-06-05,31.3,,0.0
1988-06-06,31.3,,0.0
1988-06-07,31.3,,0.0
1988-06-08,31.3,,0.0
1988-06-09,31.3,,0.0
1988-06-10,31.3,,0.0
1988-06-11,31.3,,0.0
1988-06-12,31.4,,0.0
1988-06-13,31.4,,0.0
1988-06-14,31.4,,0.0
1988-06-15,31.4,,0.0
1988-06-16,31.5,,0.0
1988-06-17,31.5,,0.0
1988-06-18,31.5,,0.0
1988-06-19,31.5,,0.0
1988-06-20,31.6,,0.0
1988-06-21,31.6,,0.0
1988-06-22,31.6,,0.0
1988-06-23,31.6,,0.0
1988-06-24,31.6,,0.0
1988-06-25,31.8,,0.0
1988-06-26,31.8,,0.0
1988-06-27,31.8,,0.0
1988-06-28,31.8,,0.0
1988-06-29,31.8,,0.0
1988-06-30,31.8,,0.0
1988-07-01,31.8,,0.0
1988-07-02,31.8,,0.0
1988-07-03,31.8,,0.0
1988-07-04,31.8,,0.0
1988-07-05,31.8,,0.0
1988-07-06,31.8,,0.0
1988-07-07,31.8,,0.0
1988-07-08,31.8,,0.0
1988-07-09,31.8,,0.0
1988-07-10,31.8,,0.0
1988-07-11,31.8,,0.0
1988-07-12,31.8,,0.0
1988-07-13,31.8,,0.0
1988-07-14,31.8,,0.0
1988-07-15,31.8,,0.0
1988-07-16,31.8,,0.0
1988-07-17,31.8,,0.0
1988-07-18,31.8,,0.0
1988-07-19,31.8,,0.0
1988-07-20,31.8,,0.0
1988-07-21,31.8,,0.0
