"ID","Station Name","River Basin","County","Longitude","Latitude","ElevationFeet","Operator","Map"
"BP1","BIG PINE CREEK 1","OWENS RIVER","INYO","-118.483000","37.125000","10,000","City of Los Angeles; Dept of Water and Power",""
"BP2","BIG PINE CREEK 2","OWENS RIVER","INYO","-118.470000","37.127000","9,700","City of Los Angeles; Dept of Water and Power",""
"BP3","BIG PINE CREEK 3","OWENS RIVER","INYO","-118.475000","37.128000","9,800","City of Los Angeles; Dept of Water and Power",""
"BRB","BARBER CREEK","SURPRISE VALLEY","MODOC","-120.125000","41.235000","6,500","Warner Mountain Ranger District",""
"BRG","BLUE RIDGE","MOJAVE DESERT","LOS ANGELES","-117.753000","34.383000","7,200",".None Specified",""
"BSH","BISHOP PASS","KINGS RIVER","FRESNO","-118.557000","37.100000","11,200","CA Dept of Water Resources/DFM-Hydro-SMN",""
"BSK","BURNSIDE LAKE","CARSON RIVER","ALPINE","-119.894200","38.719400","8,129","Natural Resources Conservation Service",""
"BSM","BEASORE MEADOWS","SAN JOAQUIN RIVER","MADERA","-119.480000","37.442000","6,800",".None Specified",""
"BSN","BIG SANDY","MERCED RIVER","MARIPOSA","-119.585600","37.468400","5,757","UC Merced",""
"BSP","BISHOP LAKE","OWENS RIVER","INYO","-118.545000","37.123000","11,300","CA Dept of Water Resources",""
"BTP","BEAR TRAP","AMERICAN RIVER","PLACER","-120.576900","39.094500","5,217","UC Merced",""
"BUK","BUCK MOUNTAIN","MC CLOUD RIVER","SISKIYOU","-121.837000","41.353000","5,550",".None Specified",""
"BUN","BURNT CORRAL MEADOW","KERN RIVER","TULARE","-118.493000","36.225000","6,200",".None Specified",""
"BV1","BEAR VALLEY RIDGE 1","MOKELUMNE RIVER","AMADOR","-120.228000","38.618000","6,700","Pacific Gas and Electric Company, Angels Camp",""
"BV2","BEAR VALLEY RIDGE 2","MOKELUMNE RIVER","AMADOR","-120.228000","38.527000","6,600",".None Specified",""
"BWH","BIG WHITNEY MEADOW","KERN RIVER","TULARE","-118.256738","36.438292","9,750","CA Dept of Water Resources",""
"BWR","BREWER CREEK","MC CLOUD RIVER","SISKIYOU","-122.100000","41.435000","6,250","McCloud Ranger District",""
"BWY","BROCKWAY SUMMIT","LAKE TAHOE","PLACER","-120.072000","39.262000","7,100",".None Specified",""
"BXC","BOX CAMP","SCOTT RIVER","SISKIYOU","-123.165000","41.597000","6,450","Salmon/Scott River Ranger District",""
"BYC","BULLY CHOOP","COTTONWOOD CREEK","SHASTA","-122.758000","40.550000","6,100","Hayfork Ranger District",""
"BYT","BRYTE TEST  SITE","SACRAMENTO RIVER","YOLO","-121.540356","38.599200","25","CA Dept of Water Resources/DFM-Hydro-SMN",""
"CAP","CAPLES LAKE","AMERICAN RIVER","ALPINE","-120.041580","38.710793","8,000","US Bureau of Reclamation",""
"CBM","COLBY MEADOW","SAN JOAQUIN RIVER","FRESNO","-118.720000","37.178000","9,700","Southern California Edison Company, Big Creek",""
"CBT","CRABTREE MEADOW","KERN RIVER","TULARE","-118.347946","36.563683","10,700","CA Dept of Water Resources/DFM-Hydro-SMN",""
"CC5","CASTLE CREEK 5","YUBA RIVER","NEVADA","-120.353920","39.349470","7,400","Central Sierra Snow Lab",""
"CCO","CISCO","YUBA RIVER","PLACER","-120.543000","39.303000","5,900","Pacific Gas and Electric Company, Auburn",""
"CDP","CEDAR PASS","PIT RIVER","MODOC","-120.303000","41.583000","7,100","Natural Resources Conservation Service",""
"CDS","CEDAR SPRINGS","MOJAVE DESERT","LOS ANGELES","-117.883000","34.355000","6,500",".None Specified",""
"CFL","CRANE FLAT LOOKOUT","MERCED RIVER","MARIPOSA","-119.820561","37.759469","6,634","National Park Service",""
"CFM","CLARK FORK MEADOW","STANISLAUS RIVER","ALPINE","-119.680000","38.362000","8,900","Pacific Gas and Electric Company, Angels Camp",""
"CHF","CHESTER FLAT","FEATHER RIVER","PLUMAS","-121.250000","40.283000","4,600","Eagle Lake Ranger District",""
"CHK","CHALK BLUFF","YUBA RIVER","NEVADA","-120.810000","39.305000","4,850","Nevada Irrigation District",""
"CHM","CHILKOOT MEADOW","SAN JOAQUIN RIVER","MADERA","-119.492188","37.408390","7,150","US Bureau of Reclamation",""
"CHP","CHAGOOPA PLATEAU","KERN RIVER","TULARE","-118.446716","36.497143","10,300","CA Dept of Water Resources/DFM-Hydro-SMN",""
"CHQ","CHIQUITO CREEK","SAN JOAQUIN RIVER","MADERA","-119.408000","37.498000","6,800","Bass Lake Ranger District",""
"CHU","CHURCH MEADOWS","FEATHER RIVER","SIERRA","-120.622767","39.681233","6,700","CA Dept of Water Resources/Beckwourth",""
"CKT","CHILKOOT LAKE","SAN JOAQUIN RIVER","MADERA","-119.480000","37.408000","7,450","Bass Lake Ranger District",""
"CLI","CLIFF CAMP","KINGS RIVER","FRESNO","-118.975000","36.987000","6,300",".None Specified",""
"CLM","CLOVER MEADOW","SAN JOAQUIN RIVER","MADERA","-119.275000","37.528000","7,000","Bass Lake Ranger District",""
"CLT","CHARLOTTE RIDGE","KINGS RIVER","FRESNO","-118.415000","36.770000","10,700","CA Dept of Water Resources",""
"CMC","CHAPMAN CREEK","YUBA RIVER","SIERRA","-120.533000","39.633000","5,850","Yuba River Ranger District",""
"CMM","CAMPITO MOUNTAIN","OWENS RIVER","INYO","-118.173000","37.497000","10,200",".None Specified",""
"CMW","CAMP MATHER WEATHER","TUOLUMNE RIVER","TUOLUMNE","-119.859412","37.878168","4,810","City of San Francisco",""
"CNM","CANNELL MEADOW","KERN RIVER","TULARE","-119.372000","35.833000","7,500",".None Specified",""
"CNP","CINCO POSES","SAN JACINTO RIVER","RIVERSIDE","-116.753000","33.830000","7,500",".None Specified",""
"CPF","CARPENTER FLAT","AMERICAN RIVER","PLACER","-120.643000","39.303000","5,300","Pacific Gas and Electric Company, Auburn",""
"CRA","CORA LAKES","SAN JOAQUIN RIVER","MADERA","-119.267000","37.598000","8,400","Bass Lake Ranger District",""
"CRF","CORRAL FLAT","MOKELUMNE RIVER","EL DORADO","-120.218000","38.625000","7,200","Amador Ranger District",""
"CRL","CHARLOTTE LAKE","KINGS RIVER","FRESNO","-118.426010","36.777523","10,400","CA Dept of Water Resources/DFM-Hydro-SMN",""
"CRM","CORRAL MEADOW","STANISLAUS RIVER","TUOLUMNE","-120.040000","38.398000","6,650","Calaveras Ranger District",""
"CSF","CISCO FLAT","YUBA RIVER","PLACER","-120.550000","39.325000","5,700",".None Specified",""
"CSV","CASA VIEJA MEADOWS","KERN RIVER","TULARE","-118.267685","36.198097","8,300","CA Dept of Water Resources/DFM-Hydro-SMN",""
"CT0","COTTONWOOD NODE 10","AMERICAN RIVER","PLACER","-120.382584","39.108733","6,200","UC Davis",""
"CT1","COTTONWOOD NODE 1","AMERICAN RIVER","PLACER","-120.383328","39.107954","6,200","UC Davis",""
"CT2","COTTONWOOD NODE 2","AMERICAN RIVER","PLACER","-120.383646","39.108040","6,200","UC Davis",""
"CT3","COTTONWOOD NODE 3","AMERICAN RIVER","PLACER","-120.383090","39.107306","6,200","UC Davis",""
"CT4","COTTONWOOD NODE 4","AMERICAN RIVER","PLACER","-120.382474","39.107505","6,200","UC Davis",""
"CT5","COTTONWOOD NODE 5","AMERICAN RIVER","PLACER","-120.382076","39.108323","6,200","UC Davis",""
"CT6","COTTONWOOD NODE 6","AMERICAN RIVER","PLACER","-120.381990","39.107600","6,200","UC Davis",""
"CT7","COTTONWOOD NODE 7","AMERICAN RIVER","PLACER","-120.382448","39.107901","6,200","UC Davis",""
"CT8","COTTONWOOD NODE 8","AMERICAN RIVER","PLACER","-120.381627","39.108284","6,200","UC Davis",""
"CT9","COTTONWOOD NODE 9","AMERICAN RIVER","PLACER","-120.383295","39.108472","6,200","UC Davis",""
"CTH","CHRISTMAS TREE HILL","SANTA ANA RIVER","SAN BERNARDINO","-116.845000","34.127000","8,500",".None Specified",""
"CTM","CENTER MOUNTAIN","WALKER RIVER","MONO","-119.467000","38.150000","9,400",".None Specified",""
"CTS","COTTAGE SPRING","STANISLAUS RIVER","CALAVERAS","-120.208000","38.355000","5,750",".None Specified",""
"CUR","COURTRIGHT","KINGS RIVER","FRESNO","-118.965000","37.072000","8,350","Pacific Gas and Electric Company, Auberry",""
"CVM","CHERRY VALLEY MET STATION","TUOLUMNE RIVER","TUOLUMNE","-119.916000","37.974660","4,770","City and County of San Francisco PUC",""
"CW1","COTTONWOOD LAKES 1","OWENS RIVER","INYO","-118.177000","36.483000","10,150","City of Los Angeles; Dept of Water and Power",""
"CW2","COTTONWOOD LAKES 2","OWENS RIVER","INYO","-118.217000","36.483000","11,100","City of Los Angeles; Dept of Water and Power",""
"CWD","COTTONWOOD LAKES","OWENS RIVER","INYO","-118.177559","36.483829","10,150","CA Dept of Water Resources/DFM-Hydro-SMN",""
"CWF","CROWDER FLAT","KLAMATH RIVER","MODOC","-120.751900","41.893400","5,100","Natural Resources Conservation Service",""
"CWM","COTTONWOOD MEADOWS","TUOLUMNE RIVER","TUOLUMNE","-119.772000","37.908000","6,000",".None Specified",""
"CWP","COTTONWOOD PASS","KERN RIVER","TULARE","-118.219401","36.449653","11,050","CA Dept of Water Resources",""
"CXS","CARSON PASS","AMERICAN RIVER","ALPINE","-120.002100","38.692400","8,353","Natural Resources Conservation Service",""
"CYT","COYOTE LAKE","SAN JOAQUIN RIVER","FRESNO","-119.073000","37.208000","8,850","Southern California Edison Company, Big Creek",""
"DAG","DAGGETTS PASS","LAKE TAHOE","State of Nevada","-119.883000","38.983000","7,350",".None Specified",""
"DAN","DANA MEADOWS","TUOLUMNE RIVER","TUOLUMNE","-119.257260","37.896162","9,800","CA Dept of Water Resources/DFM-Hydro-SMN",""
"DDF","DEADFALL LAKES","TRINITY RIVER","TRINITY","-122.503000","41.318000","7,200","Mount Shasta Ranger District",""
"DDM","DEADMAN CREEK","STANISLAUS RIVER","TUOLUMNE","-119.654114","38.331596","9,250","US Bureau of Reclamation",""
"DDR","DODGE RIDGE","TUOLUMNE RIVER","TUOLUMNE","-119.927000","38.190000","8,150",".None Specified",""
"DFL","DEER FLATS","SAN GABRIEL RIVER","LOS ANGELES","-117.833000","34.338000","6,800",".None Specified",""
"DGH","DOG HOUSE MEADOW","MERCED RIVER","MARIPOSA","-119.785222","37.762600","6,100","CA Dept of Water Resources/DFM-Hydro-SMN",""
"DHC","DEAD HORSE CANYON","MC CLOUD RIVER","SISKIYOU","-121.775000","41.208000","4,500","McCloud Ranger District",""
"DHM","DEAD HORSE MEADOW","KERN RIVER","TULARE","-118.587000","35.873000","7,300","Western Divide Ranger District",""
"DMN","DIAMOND CROSSING","AMERICAN RIVER","PLACER","-120.283000","39.112000","6,050","Placer County Water Agency",""
"DNF","DEADMAN FLAT","AMERICAN RIVER","PLACER","-120.363000","39.205000","6,100",".None Specified",""
"DNR","DONNER LAKE (SNOW COURSE)","TRUCKEE RIVER","NEVADA","-120.292000","39.320000","6,000",".None Specified",""
"DNS","DONNER SUMMIT","YUBA RIVER","PLACER","-120.338000","39.310000","6,900","Pacific Gas and Electric Company, Auburn",""
"DOL","DOLLY CREEK","AMERICAN RIVER","PLACER","-120.368720","39.148810","6,622","UC Merced",""
"DP2","DONNER PARK 2","TRUCKEE RIVER","PLACER","-120.245000","39.320000","6,000",".None Specified",""
"DPK","DUNCAN PEAK","AMERICAN RIVER","PLACER","-120.510100","39.154600","6,929","UC Merced",""
"DPO","DEVILS POSTPILE","SAN JOAQUIN RIVER","MADERA","-119.084671","37.629410","7,569","CA Dept of Water Resources/DFM-Hydro-SMN",""
"DRL","DRY LAKE","SANTA ANA RIVER","SAN BERNARDINO","-116.827000","34.122000","9,000",".None Specified",""
"DRN","DORRINGTON","STANISLAUS RIVER","CALAVERAS","-120.278000","38.305000","4,750",".None Specified",""
"DRR","DARRINGTON","AMERICAN RIVER","EL DORADO","-120.053000","38.825000","7,100","CA Dept of Water Resources",""
"DSF","DINKEY SAND FLAT","KINGS RIVER","FRESNO","-119.152000","37.047000","5,500",".None Specified",""
"DSM","DODSONS MEADOW","KINGS RIVER","FRESNO","-118.958000","37.092000","8,050","Pacific Gas and Electric Company, Auberry",""
"DTL","DUTCH LAKE","SAN JOAQUIN RIVER","FRESNO","-118.997000","37.258000","9,100","Southern California Edison Company, Big Creek",""
"DYM","DYNAMITE MEADOW","SCOTT RIVER","SISKIYOU","-122.817000","41.233000","5,700","Salmon/Scott River Ranger District",""
"EBB","EBBETTS PASS","CARSON RIVER","ALPINE","-119.808000","38.561000","8,700","Natural Resources Conservation Service",""
"ECS","ECHO SUMMIT","AMERICAN RIVER","EL DORADO","-120.038980","38.828520","7,450","Placerville Ranger District",""
"EGM","EAGLE MEADOW","STANISLAUS RIVER","TUOLUMNE","-119.832000","38.288000","7,500","Pacific Gas and Electric Company, Angels Camp",""
"EGP","EAGLE PEAK","PIT RIVER","MODOC","-120.230000","41.255000","7,200",".None Specified",""
"ELL","ELLERY LAKE","MONO LAKE","MONO","-119.248000","37.938000","9,600","Southern California Edison Company, Bishop",""
"EML","EMERALD LAKE","SAN JOAQUIN RIVER","FRESNO","-118.762000","37.183000","10,600","Southern California Edison Company, Big Creek",""
"EMV","EMIGRANT VALLEY","AMERICAN RIVER","ALPINE","-120.047000","38.672000","8,400",".None Specified",""
"ENM","ENGLISH MOUNTAIN","YUBA RIVER","NEVADA","-120.525000","39.436000","7,100","Nevada Irrigation District",""
"EP5","ECHO PEAK 5","LAKE TAHOE","EL DORADO","-120.079000","38.849000","7,800","Natural Resources Conservation Service",""
"EPP","EAST PIUTE PASS","OWENS RIVER","INYO","-118.687000","37.235000","10,800","CA Dept of Water Resources",""
"ERB","EUREKA BOWL","FEATHER RIVER","PLUMAS","-120.719650","39.756583","6,800","CA Dept of Water Resources/Beckwourth",""
"ERY","ELLERY LAKE","MONO LAKE","MONO","-119.232201","37.934967","9,645","CA Dept of Water Resources/DFM-Hydro-SMN",""
"ETN","ETNA MOUNTAIN","SCOTT RIVER","SISKIYOU","-123.001000","41.400000","5,900","Salmon/Scott River Ranger District",""
"EUR","EUREKA LAKE","FEATHER RIVER","PLUMAS","-120.714717","39.761650","6,200","CA Dept of Water Resources/Beckwourth",""
"FBN","FREEL BENCH","LAKE TAHOE","EL DORADO","-119.950000","38.850000","7,300","Natural Resources Conservation Service",""
"FCL","FEATHER RIVER COLLEGE","FEATHER RIVER","PLUMAS","-120.969701","39.945873","3,425","Center for Western Weather and Water Extremes",""
"FCV","FRENCHMAN COVE","FEATHER RIVER","PLUMAS","-120.265000","39.897000","5,800","CA Dept of Water Resources/Beckwourth",""
"FDC","FORESTDALE CREEK","CARSON RIVER","ALPINE","-119.959700","38.682400","8,017","Natural Resources Conservation Service",""
"FDM","FRED MEADOW","KINGS RIVER","FRESNO","-119.080000","37.023000","6,950","Pacific Gas and Electric Company, Auberry",""
"FEM","FEATHER RIVER MEADOW","FEATHER RIVER","LASSEN","-121.424960","40.355110","5,522","Pacific Gas and Electric Company, Rogers Flat",""
"FL2","FLOWER LAKE 2","OWENS RIVER","INYO","-118.360000","36.770000","10,660","CA Dept of Water Resources",""
"FLC","FLORENCE LAKE","SAN JOAQUIN RIVER","FRESNO","-118.962000","37.277000","7,200","Southern California Edison Company, Big Creek",""
"FLE","FLETCHER LAKE","MERCED RIVER","TUOLUMNE","-119.343300","37.796700","10,300","Yosemite National Park",""
"FLK","FLETCHER LAKE 2","MERCED RIVER","TUOLUMNE","-119.345900","37.795600","10,100","Yosemite National Park",""
"FLL","FALLEN LEAF LAKE","LAKE TAHOE","EL DORADO","-120.056000","38.932000","6,250","Natural Resources Conservation Service",""
"FLV","VOGELSANG","MERCED RIVER","MARIPOSA","-119.347404","37.794571","10,095","Merced Irrigation District",""
"FNF","FURNACE FLAT","YUBA RIVER","NEVADA","-120.503000","39.355000","6,700","Pacific Gas and Electric Company, Auburn",""
"FNP","FINDLEY PEAK","YUBA RIVER","NEVADA","-120.572000","39.470000","6,500","Nevada Irrigation District",""
"FOD","LAKE FORDYCE","YUBA RIVER","NEVADA","-120.500000","39.360000","6,500","Pacific Gas and Electric Company, Auburn",""
"FOR","FOUR TREES","FEATHER RIVER","PLUMAS","-121.321680","39.812780","5,202","CA Dept of Water Resources/O&M Oroville Field Division",""
"FP1","FREDONYER PASS 1","FEATHER RIVER","LASSEN","-120.867000","40.362000","5,750",".None Specified",""
"FP2","FREDONYER PASS 2","FEATHER RIVER","LASSEN","-120.877000","40.367000","5,200",".None Specified",""
"FP3","FREDONYER PASS 3","FEATHER RIVER","LASSEN","-120.872000","40.375000","5,850","Eagle Lake Ranger District",""
"FRN","FORNI RIDGE","AMERICAN RIVER","EL DORADO","-120.215919","38.803970","7,600","US Bureau of Reclamation",""
"FRS","FRESNO DOME","MERCED RIVER","MARIPOSA","-119.536200","37.463800","7,141","UC Merced",""
"FRW","FAREWELL GAP","KAWEAH RIVER","TULARE","-118.578979","36.415211","9,500","CA Dept of Water Resources/DFM-Hydro-SMN",""
"G01","GREYHORSE 2 NODE 1","AMERICAN RIVER","PLACER","-120.349317","39.128929","6,200","UC Davis",""
"G02","GREYHORSE 2 NODE 2","AMERICAN RIVER","PLACER","-120.348720","39.129500","6,200","UC Davis",""
"G03","GREYHORSE 2 NODE 3","AMERICAN RIVER","PLACER","-120.349488","39.130142","6,200","UC Davis",""
"G04","GREYHORSE 2 NODE 4","AMERICAN RIVER","PLACER","-120.349858","39.131350","6,200","UC Davis",""
"G05","GREYHORSE 2 NODE 5","AMERICAN RIVER","PLACER","-120.350631","39.131170","6,200","UC Davis",""
"G06","GREYHORSE 2 NODE 6","AMERICAN RIVER","PLACER","-120.350937","39.130229","6,200","UC Davis",""
"G07","GREYHORSE 2 NODE 7","AMERICAN RIVER","PLACER","-120.351602","39.130711","6,200","UC Davis",""
"G08","GREYHORSE 2 NODE 8","AMERICAN RIVER","PLACER","-120.350206","39.129417","6,200","UC Davis",""
"G09","GREYHORSE 2 NODE 9","AMERICAN RIVER","PLACER","-120.351524","39.129636","6,200","UC Davis",""
"G10","GREYHORSE 2 NODE 10","AMERICAN RIVER","PLACER","-120.350517","39.128703","6,200","UC Davis",""
"GBN","GIBSONVILLE","YUBA RIVER","SIERRA","-120.932000","39.725000","5,400","South Feather Water and Power Agency",""
"GCM","GRACE MEADOW","TUOLUMNE RIVER","TUOLUMNE","-119.617000","38.150000","8,900",".None Specified",""
"GEM","GEM PASS","MONO LAKE","MONO","-119.170000","37.780000","10,750","CA Dept of Water Resources/DFM-Hydro-SMN",""
"GFL","GIN FLAT (COURSE)","MERCED RIVER","MARIPOSA","-119.773000","37.765000","7,000","Yosemite National Park",""
"GFR","GIANT FOREST","KAWEAH RIVER","TULARE","-118.768000","36.570000","6,400","Sequoia and Kings Canyon National Parks",""
"GH1","GREYHORSE NODE 1","AMERICAN RIVER","PLACER","-120.361372","39.122312","6,200","UC Davis",""
"GH2","GREYHORSE NODE 2","AMERICAN RIVER","PLACER","-120.361569","39.122312","6,200","UC Davis",""
"GH3","GREYHORSE NODE 3","AMERICAN RIVER","PLACER","-120.361237","39.122829","6,200","UC Davis",""
"GH4","GREYHORSE NODE 4","AMERICAN RIVER","PLACER","-120.360833","39.123418","6,200","UC Davis",""
"GH5","GREYHORSE NODE 5","AMERICAN RIVER","PLACER","-120.361080","39.124216","6,200","UC Davis",""
"GH6","GREYHORSE NODE 6","AMERICAN RIVER","PLACER","-120.362456","39.124087","6,200","UC Davis",""
"GH7","GREYHORSE NODE 7","AMERICAN RIVER","PLACER","-120.362765","39.123559","6,200","UC Davis",""
"GH8","GREYHORSE NODE 8","AMERICAN RIVER","PLACER","-120.362462","39.123003","6,200","UC Davis",""
"GH9","GREYHORSE NODE 9","AMERICAN RIVER","PLACER","-120.362001","39.123503","6,200","UC Davis",""
"GIN","GIN FLAT","MERCED RIVER","MARIPOSA","-119.774907","37.766887","7,050","CA Dept of Water Resources/DFM-Hydro-SMN",""
"GKS","GREEK STORE","AMERICAN RIVER","PLACER","-120.561600","39.074680","5,600","US Bureau of Reclamation",""
"GL2","GLENBROOK 2 (NEVADA)","LAKE TAHOE","State of Nevada","-119.908000","39.083000","6,900","Truckee River Basin Water Committee, Reno",""
"GML","GEM LAKE","MONO LAKE","MONO","-119.162000","37.752000","9,150","Southern California Edison Company, Bishop",""
"GNG","GRANT GROVE","KINGS RIVER","TULARE","-118.963000","36.742000","6,600","Sequoia and Kings Canyon National Parks",""
"GNL","GIANELLI MEADOW","STANISLAUS RIVER","TUOLUMNE","-119.893188","38.204308","8,400","US Bureau of Reclamation",""
"GNM","GARDNER MEADOW","STANISLAUS RIVER","TUOLUMNE","-120.037000","38.408000","6,800",".None Specified",""
"GRM","GREEN MOUNTAIN","SAN JOAQUIN RIVER","MADERA","-119.232559","37.549599","7,900","US Bureau of Reclamation",""
"GRV","GRAVEYARD MEADOW","SAN JOAQUIN RIVER","MADERA","-119.292892","37.463440","6,900","US Bureau of Reclamation",""
"GRZ","GRIZZLY RIDGE","FEATHER RIVER","PLUMAS","-120.645000","39.917000","6,900","CA Dept of Water Resources/Operations and Maintenance",""
"GYF","GUYOT FLAT","KERN RIVER","TULARE","-118.348000","36.523000","10,650","CA Dept of Water Resources",""
"GYP","GAYLOR PIT","TUOLUMNE RIVER","TUOLUMNE","-119.312323","37.881747","9,200","National Park Service",""
"GYR","GRAY ROCK LAKES","SACRAMENTO RIVER","SISKIYOU","-122.417000","41.217000","6,200","Mount Shasta Ranger District",""
