,site_id
86,little_goose_ck_nr_big_horn
87,tongue_r_at_state_line_nr_decker
88,yellowstone_r_at_miles_city
89,mf_powder_r_nr_barnum
90,nf_powder_r_nr_hazelton
91,rock_ck_nr_buffalo
92,piney_ck_at_kearny
93,powder_r_at_moorehead
94,powder_r_nr_locate
95,yellowstone_r_nr_sidney
96,lake_sakakawea_inflow
97,deerfield_reservoir_inflow
98,pactola_reservoir_inflow
99,north_platte_r_nr_northgate
100,encampment_r_nr_encampment
101,rock_ck_ab_king_canyon_cnl_nr_arlington
102,north_platte_r_bl_seminoe_reservoir
103,la_prele_ck_nr_douglas
104,north_platte_r_bl_glendo_reservoir
105,north_platte_r_bl_guernsey_reservoir
106,laramie_r_and_pioneer_cnl_nr_woods_lndg
107,little_laramie_r_nr_filmore
108,south_platte_r_bl_antero_reservoir
109,south_platte_r_ab_spinney_res
110,south_platte_r_nr_lake_george
111,south_platte_r_bl_cheesman_lk
112,south_platte_r_at_south_platte
113,bear_ck_ab_evergreen
114,clear_ck_at_golden
115,st._vrain_ck_at_lyons
116,boulder_ck_nr_orodell
117,south_boulder_ck_nr_eldorado_springs
118,big_thompson_r_at_canyon_mouth
119,cache_la_poudre_at_canyon_mouth
120,chalk_ck_nr_nathrop
121,arkansas_r_at_salida
122,grape_ck_nr_westcliffe
123,huerfano_r_nr_redwing
124,cucharas_r_nr_la_veta
125,purgatoire_r_at_trinidad
126,vermejo_r_nr_dawson
127,cimarron_r_bl_eagle_nest_dam
128,cimarron_r_nr_cimarron
129,ponil_ck_nr_cimarron
130,rayado_ck_nr_cimarron
131,rio_grande_at_thirty_mile_bridge
132,rio_grande_at_wagon_wheel_gap
133,sf_rio_grande_at_south_fork
134,rio_grande_nr_del_norte
135,saguache_ck_nr_saguache
136,alamosa_ck_ab_terrace_reservoir
137,la_jara_ck_nr_capulin
138,trinchera_ck_ab_turners_ranch
139,sangre_de_cristo_ck
140,ute_ck_nr_fort_garland
141,conejos_r_bl_platoro_reservoir
142,conejos_r_nr_mogote
143,san_antonio_r_at_ortiz
144,los_pinos_r_nr_ortiz
145,culebra_ck_at_san_luis
146,costilla_ck_bl_costilla_dam
147,costilla_ck_nr_costilla
148,red_r_bl_fish_hatchery_nr_questa
149,rio_hondo_nr_valdez
150,rio_pueblo_de_taos_nr_taos
151,rio_lucero_nr_arroyo_seco
152,rio_pueblo_de_taos_bl_los_cordovas
153,embudo_ck_at_dixon
154,rio_chama_bl_el_vado_dam
155,santa_cruz_r_at_cundiyo
156,rio_nambe_bl_nambe_falls_dam_nr_nambe
157,tesuque_ck_ab_diversions
158,rio_grande_at_otowi_bridge
159,santa_fe_r_nr_santa_fe
160,jemez_r_nr_jemez
161,jemez_r_bl_jemez_canyon_dam
162,rio_grande_at_san_marcial
163,pecos_r_nr_anton_chico
164,gallinas_ck_nr_montezuma
165,pecos_r_ab_santa_rosa_lk
166,rio_ruidoso_at_hollywood
167,mimbres_r_at_mimbres
168,colorado_r_bl_lake_granby
169,willow_ck_bl_willow_ck_reservoir
170,williams_fk_bl_williams_fk_reservoir
171,muddy_creek_bl_wolford_mtn_reservoir
172,blue_r_bl_green_mountain_reservoir
173,colorado_r_nr_kremmling
174,eagle_r_bl_gypsum
175,colorado_r_nr_dotsero
176,roaring_fk_at_glenwood_springs
177,colorado_r_nr_cameo
178,slate_r_nr_crested_butte
179,east_r_at_almont
180,gunnison_r_near_gunnison
181,tomichi_ck_at_sargents
182,cochetopa_ck_bl_rock_ck_nr_parlin
183,tomichi_ck_at_gunnison
184,lake_fk_at_gateview
185,gunnison_r_at_blue_mesa_dam
186,muddy_ck_bl_paonia_reservoir
187,nf_gunnison_r_nr_somerset
188,surface_ck_at_cedaredge
189,uncompahgre_r_bl_ridgway_reservoir
190,uncompahgre_r_at_colona
191,gunnison_r_nr_grand_junction
192,dolores_r_at_dolores
193,dolores_r_bl_mcphee_reservoir
194,san_miguel_r_nr_placerville
195,colorado_r_nr_cisco
196,mill_ck_at_sheley_tunnel_nr_moab
197,green_r_at_warren_bridge
198,pine_ck_ab_fremont_lake
199,new_fork_r_nr_big_piney
200,big_sandy_r_nr_farson
201,"green_r_nr_green_river,_wy"
202,blacks_fk_nr_robertson
203,east_fork_smiths_fork_bl_stateline_res
204,hams_fk_bl_pole_ck_nr_frontier
205,hams_fk_bl_viva_naughton_reservoir
206,green_r_at_flaming_gorge_dam
207,yampa_r_ab_stagecoach_reservoir
208,yampa_r_at_steamboat_springs
209,elk_r_nr_milner
210,elkhead_ck_ab_long_gulch
211,little_snake_r_nr_slater
212,little_snake_r_nr_dixon
213,little_snake_r_nr_lily
214,big_brush_ck_ab_red_fleet_reservoir
215,ashley_ck_nr_vernal
216,wf_duchesne_r_at_vat_diversion
217,duchesne_r_nr_tabiona
218,rock_ck_at_upper_stillwater_dam
219,rock_ck_nr_mountain_home
220,duchesne_r_ab_knight_diversion
221,strawberry_r_nr_soldier_springs
222,currant_ck_bl_currant_ck_dam
223,strawberry_r_nr_duchesne
224,lake_fk_r_bl_moon_lk_nr_mountain_home
225,yellowstone_r_nr_altonah
226,duchesne_r_at_myton
227,uinta_r_bl_powerplant_diversion_nr_neola
228,whiterocks_r_nr_whiterocks
229,duchesne_r_nr_randlett
230,white_r_nr_meeker
231,fish_ck_ab_reservoir_nr_scofield
232,price_r_nr_scofield_reservoir
233,white_r_bl_tabbyune_creek
234,"green_r_at_green_river,_ut"
235,huntington_ck_bl_electric_lake
236,huntington_ck_nr_huntington
237,seely_ck_bl_joes_valley_resv
238,ferron_ck_upper_station_nr_ferron
239,seven_mile_ck_nr_fish_lake
240,muddy_ck_nr_emery
241,pine_ck_nr_escalante
242,rio_blanco_bl_blanco_diversion
243,navajo_r_bl_oso_diversion_dam_nr_chromo
244,san_juan_r_nr_carracas
245,piedra_r_nr_arboles
246,los_pinos_r_nr_bayfield
247,san_juan_r_nr_archuleta
248,florida_r_bl_lemon_reservoir_nr_durango
249,la_plata_r_at_hesperus
250,mancos_r_nr_mancos
251,south_ck_ab_resv_nr_monticello
252,san_juan_r_near_bluff
253,colorado_r_at_glen_canyon_dam
254,little_colorado_r_ab_lyman_lake
255,rio_nutria_nr_ramah
256,zuni_r_ab_black_rock_reservoir
257,east_clear_ck_bl_blue_ridge_reservoir
258,lake_mary_reservoir_inflow
259,virgin_r_nr_hurricane
260,santa_clara_r_nr_pine_valley
261,virgin_r_at_littlefield
262,gila_r_at_gila
263,gila_r_bl_blue_ck_nr_virden
264,san_francisco_r_at_glenwood
265,san_francisco_r_at_clifton
266,gila_r_nr_solomon
267,gila_r_bl_coolidge_dam
268,salt_r_nr_roosevelt
269,tonto_ck_ab_gun_ck_nr_roosevelt
270,verde_r_bl_tangle_ck_ab_horseshoe_dam
271,great_salt_lake_inflow
272,bear_r_nr_ut-wy_state_line
273,bear_r_ab_resv_nr_woodruff
274,big_ck_nr_randolph
275,smiths_fk_nr_border
276,bear_r_bl_stewart_dam
277,little_bear_r_at_paradise
278,logan_r_nr_logan
279,blacksmith_fk_nr_hyrum
280,rockport_reservoir_inflow
281,weber_r_nr_coalville
282,chalk_ck_at_coalville
283,echo_reservoir_inflow
284,lost_ck_reservoir_inflow
285,east_canyon_ck_nr_jeremy_ranch
286,east_canyon_ck_nr_morgan
287,weber_r_at_gateway
288,sf_ogden_r_nr_huntsville
289,pineview_reservoir_inflow
290,salt_ck_at_nephi
291,spanish_fk_at_castilla
292,provo_r_at_woodland
293,provo_r_at_hailstone
294,provo_r_bl_deer_ck_dam
295,american_fk_ab_upper_powerplant
296,w_canyon_ck_nr_cedar_fort
297,utah_lake_inflow
298,little_cottonwood_ck_nr_slc
299,big_cottonwood_ck_nr_slc
300,mill_ck_nr_slc
301,parleys_ck_nr_slc
302,emigration_ck_nr_slc
303,city_ck_nr_slc
304,vernon_ck_nr_vernon
305,s_willow_ck_nr_grantsville
306,dunn_ck_nr_park_valley
307,mammoth_ck_nr_hatch
308,sevier_r_at_hatch
309,sevier_r_nr_kingston
310,ef_sevier_r_nr_kingston
311,clear_ck_ab_diversions_nr_sevier
312,salina_ck_nr_emery
313,manti_ck_bl_dugway_ck_nr_manti
314,sevier_r_nr_gunnison
315,beaver_r_nr_beaver
316,coal_ck_nr_cedar_city
317,lehman_ck_nr_baker
318,cleve_ck_nr_ely
319,steptoe_ck_nr_ely
320,kingston_ck_nr_austin
321,e_walker_r_nr_bridgeport
322,w_walker_r_bl_l_walker_r_nr_coleville
323,w_walker_r_nr_coleville
324,ef_carson_r_nr_gardnerville
325,wf_carson_r_nr_woodfords
326,carson_r_nr_carson_city
327,kings_canyon_ck_nr_carson_city
328,ash_canyon_ck_nr_carson_city
329,carson_r_at_ft_churchill
330,marys_r_nr_deeth
331,lamoille_ck_nr_lamoille
332,nf_humboldt_r_at_devils_gate
333,humboldt_r_nr_elko
334,sf_humboldt_r_ab_tenmile_ck_nr_elko
335,sf_humboldt_r_ab_dixie_ck
336,humboldt_r_nr_carlin
337,humboldt_r_at_palisade
338,rock_ck_nr_battle_mountain
339,humboldt_r_at_comus
340,l_humboldt_r_nr_paradise_valley
341,martin_ck_nr_paradise_valley
342,humboldt_r_nr_imlay
343,marlette_lake_inflow
344,donner_lk_inflow
345,prosser_ck_res_inflow
346,independence_lk_inflow
347,sagehen_ck_nr_truckee
348,stampede_reservoir_inflow
349,l_truckee_r_ab_boca_reservoir
350,truckee_r_ab_farad_sidewater
351,truckee_r_at_farad
352,galena_ck_at_galena_ck_state_pk
353,steamboat_ck_at_steamboat
354,mcdermitt_ck_nr_mcdermitt
355,twentymile_ck_nr_adel
356,deep_ck_ab_adel
357,honey_ck_nr_plush
358,chewaucan_r_nr_paisley
359,silvies_r_nr_burns
360,donner_und_blitzen_r_nr_frenchglen
361,trout_ck_nr_denio
362,"millerton_lake_at_friant,_ca"
363,tuolumne_r_nr_hetch_hetchy_ca
364,oroville_reservoir_inflow
365,clear_lake_inflow
366,gerber_reservoir_inflow
367,sprague_r_nr_chiloquin
368,upper_williamson_r
369,williamson_r_bl_sprague_r_nr_chiloquin
370,upper_klamath_lake_inflow
371,elwha_at_mcdonald_bridge
372,dungeness_r_nr_sequim
373,white_r_nr_buckley
374,cedar_r_nr_cedar_falls
375,rex_r_nr_cedar_falls
376,taylor_ck_nr_selleck
377,sf_tolt_r_nr_index
378,thunder_ck_nr_newhalem
379,skagit_r_at_newhalem
380,baker_r_at_concrete
381,tobacco_r_nr_eureka
382,yaak_r_nr_troy
383,kootenai_r_at_leonia
384,moyie_r_at_eastport
385,boundary_ck_nr_porthill
386,clark_fk_at_goldcreek
387,flint_ck_nr_southern_cross
388,flint_ck_bl_boulder_ck
389,mf_rock_ck_nr_philipsburg
390,rock_ck_nr_clinton
391,nevada_ck_nr_helmville
392,blackfoot_r_nr_bonner
393,clark_fork_r_ab_milltown
394,clark_fork_r_ab_missoula
395,wf_bitterroot_r_nr_conner
396,bitterroot_r_nr_darby
397,bitterroot_r_nr_missoula
398,clark_fork_r_bl_missoula
399,clark_fork_r_at_st._regis
400,nf_flathead_r_nr_columbia_falls
401,mf_flathead_r_nr_west_glacier
402,sf_flathead_r_nr_hungry_horse
403,flathead_r_at_columbia_falls
404,swan_r_nr_bigfork
405,flathead_r_nr_polson
406,mill_ck_ab_bassoo_ck_nr_niarada
407,south_crow_ck_nr_ronan
408,mission_ck_nr_st._ignatius
409,sf_jocko_r_nr_arlee
410,clark_fork_r_nr_plains
411,prospect_ck_at_thompson_falls
412,clark_fork_r_bl_cabinet_gorge_dam
413,"priest_r_outflow_nr_coolin,_id"
414,priest_r_nr_priest_river
415,pend_oreille_lake_inflow
416,pend_oreille_r_bl_box_canyon
417,kettle_r_nr_laurier
418,nf_coeur_dalene_r_at_enaville
419,st._joe_r_at_calder
420,spokane_r_nr_post_falls
421,spokane_r_at_long_lake
422,chamokane_ck_nr_long_lake
423,columbia_r_at_grand_coulee-nws
424,similkameen_r_nr_nighthawk
425,okanogan_r_nr_tonasket
426,okanogan_r_at_malott
427,methow_r_nr_pateros
428,chelan_r_at_chelan
429,entiat_r_nr_ardenvoir
430,wenatchee_r_at_plain
431,icicle_ck_nr_leavenworth
432,wenatchee_r_at_peshastin
433,columbia_r_bl_rock_island_dam-nws
434,keechelus_reservoir_inflow
435,kachess_reservoir_inflow
436,cle_elum_lake_inflow
437,teanaway_r_bl_forks_nr_cle_elum
438,bumping_lake_inflow
439,american_r_nr_nile
440,rimrock_lake_inflow
441,naches_r_nr_naches
442,ahtanum_ck_at_union_gap
443,yakima_r_nr_parker
444,snake_r_at_flagg_ranch
445,snake_r_nr_moran
446,pacific_ck_at_moran
447,buffalo_fk_ab_lava_ck_nr_moran
448,snake_r_ab_reservoir_nr_alpine
449,greys_r_ab_reservoir_nr_alpine
450,salt_r_ab_reservoir_nr_etna
451,snake_r_nr_irwin
452,henrys_fk_nr_ashton
453,falls_r_nr_ashton
454,teton_r_nr_driggs
455,teton_r_nr_st_anthony
456,henrys_fk_nr_rexburg
457,willow_ck_nr_ririe
458,portneuf_r_at_topaz
459,snake_r_at_neeley
460,goose_ck_abv_trapper_ck_nr_oakley
461,trapper_ck_nr_oakley
462,oakley_reservoir_inflow
463,salmon_falls_ck_nr_san_jacinto
464,camas_ck_at_camas
465,little_lost_r_bl_wet_ck_nr_howe
466,big_lost_r_at_howell_ranch
467,big_lost_r_bl_mackay_reservoir
468,big_wood_r_at_hailey
469,big_wood_r_ab_magic_reservoir
470,camas_ck_nr_blaine
471,big_wood_r_bl_magic_dam
472,little_wood_r_ab_high_five_ck
473,little_wood_r_nr_carey
474,bruneau_r_at_rowland
475,jarbidge_river_below_jarbidge
476,bruneau_r_nr_hot_spring
477,reynolds_ck_at_tollgate
478,owyhee_r_nr_gold_ck
479,owyhee_r_nr_rome
480,boise_r_nr_twin_springs
481,sf_boise_r_at_anderson_ranch_dam
482,mores_ck_nr_arrowrock_dam
483,malheur_r_nr_drewsey
484,nf_malheur_r_at_beulah
485,sf_payette_r_at_lowman
486,deadwood_reservoir_inflow
487,lake_fork_payette_r_nr_mccall
488,nf_payette_r_at_cascade
489,nf_payette_r_nr_banks
490,payette_r_nr_horseshoe_bend
491,weiser_r_nr_weiser
492,burnt_r_nr_hereford
493,powder_r_nr_sumpter
494,pine_ck_nr_oxbow
495,imnaha_r_at_imnaha
496,salmon_r_at_salmon
497,lemhi_r_nr_lemhi
498,mf_salmon_r_at_mf_lodge
499,sf_salmon_r_nr_krassel_ranger_station
500,johnson_ck_at_yellow_pine
501,salmon_r_at_white_bird
502,catherine_ck_nr_union
503,lostine_r_nr_lostine
504,bear_ck_nr_wallowa
505,grande_ronde_r_at_troy
506,asotin_ck_at_asotin
507,selway_r_nr_lowell
508,lochsa_r_nr_lowell
509,clearwater_r_at_orofino
510,dworshak_reservoir_inflow
511,clearwater_r_at_spalding
512,snake_r_bl_lower_granite_dam-nws
513,sf_walla_walla_r_nr_milton-freewater
514,mill_ck_nr_walla_walla
515,umatilla_r_ab_meacham_ck_nr_gibbon
516,umatilla_r_at_pendleton
517,mckay_ck_nr_pilot_rock
518,butter_ck_nr_pine_city
519,willow_ck_ab_willow_ck_lake_nr_heppner
520,rhea_ck_nr_heppner
521,strawberry_ck_nr_prairie_city
522,camas_ck_nr_ukiah
523,mf_john_day_r_at_ritter
524,nf_john_day_r_at_monument
525,deschutes_r_bl_snow_ck
526,crane_prairie_reservoir_inflow
527,crescent_lake_inflow
528,little_deschutes_r_nr_la_pine
529,deschutes_r_at_benham_falls
530,whychus_ck_nr_sisters
531,prineville_reservoir_inflow
532,ochoco_reservoir_inflow
533,columbia_r_at_the_dalles-nws
534,klickitat_r_nr_glenwood
535,klickitat_r_nr_pitt
536,wf_hood_r_nr_dee
537,hood_r_at_tucker_bridge
538,sandy_r_nr_marmot
539,hills_creek_reservoir_inflow
540,lookout_point_reservoir_inflow
541,mckenzie_r_bl_trail_bridge
542,cougar_lake_inflow
543,blue_lake_inflow
544,mckenzie_r_nr_vida
545,north_santiam_r_at_mehama
546,green_peter_lake_inflow
547,foster_lake_inflow
548,south_santiam_r_at_waterloo
549,willamette_r_at_salem
550,oak_grove_fk_ab_powerplant
551,clackamas_r_ab_three_lynx
552,clackamas_r_at_estacada
553,lewis_r_at_ariel
554,cowlitz_r_bl_mayfield
555,cowlitz_r_at_castle_rock
556,south_umpqua_r_at_tiller
557,cow_ck_ab_galesville_reservoir
558,south_umpqua_r_nr_brockway
559,north_umpqua_r_at_winchester
560,lost_creek_lk_inflow
561,rogue_r_at_raygold
562,rogue_r_at_grants_pass
563,applegate_lake_inflow
564,sucker_ck_nr_holland
565,illinois_r_nr_kerby
566,lake_tahoe_net_inflow
567,martis_ck_res_inflow
568,boca_res_local_inflow
569,taiya_r_nr_skagway
570,gulkana_r_at_sourdough
571,kenai_r_at_cooper_landing
572,ship_ck_nr_anchorage
573,little_susitna_r_nr_palmer
574,talkeetna_r_nr_talkeetna
575,bradley_lake_inflow
576,kuskokwim_r_at_crooked_creek
577,yukon_r_at_eagle
578,porcupine_r_nr_intl_boundary
579,yukon_r_nr_stevens_village
580,salcha_r_nr_salchaket
581,tanana_r_at_fairbanks
582,chena_r_nr_two_rivers
583,little_chena_r_nr_fairbanks
584,tanana_r_at_nenana
585,kuparuk_r_nr_deadhorse
586,sagavanirktok_r_nr_pump_station_3
587,bowl_canyon_ck_ab_asaayi_lake
588,captain_tom_wash_nr_two_gray_hills
589,dell_fk_nr_slc
590,wheatfields_ck_nr_wheatfields
