datetime,00010_2_Mean,00010_2_Mean_cd,site_no,00010_Mean,00010_Mean_cd,00060_Mean,00060_Mean_cd
2020-11-14 00:00:00+00:00,,,13190500,9.8,A,317.0,A
2020-11-15 00:00:00+00:00,,,13190500,9.7,A,314.0,A
2020-11-16 00:00:00+00:00,,,13190500,10.0,A,316.0,A
2020-11-17 00:00:00+00:00,,,13190500,9.5,A,316.0,A
2020-11-18 00:00:00+00:00,,,13190500,9.4,A,319.0,A
2020-11-19 00:00:00+00:00,,,13190500,9.1,A,316.0,A
2020-11-20 00:00:00+00:00,,,13190500,8.7,A,311.0,A
2020-11-21 00:00:00+00:00,,,13190500,8.5,A,308.0,A
2020-11-22 00:00:00+00:00,,,13190500,8.4,A,311.0,A
2020-11-23 00:00:00+00:00,,,13190500,8.7,A,326.0,A
2020-11-24 00:00:00+00:00,,,13190500,8.6,A,325.0,A
2020-11-25 00:00:00+00:00,,,13190500,8.5,A,322.0,A
2020-11-26 00:00:00+00:00,,,13190500,8.4,A,321.0,A
2020-11-27 00:00:00+00:00,,,13190500,8.2,A,323.0,A
2020-11-28 00:00:00+00:00,,,13190500,8.0,A,323.0,A
2020-11-29 00:00:00+00:00,,,13190500,7.9,A,320.0,A
2020-11-30 00:00:00+00:00,,,13190500,7.8,A,318.0,A
2020-12-01 00:00:00+00:00,,,13190500,7.8,A,316.0,A
2020-12-02 00:00:00+00:00,,,13190500,7.5,A,314.0,A
2020-12-03 00:00:00+00:00,,,13190500,7.3,A,316.0,A
2020-12-04 00:00:00+00:00,,,13190500,7.2,A,315.0,A
2020-12-05 00:00:00+00:00,,,13190500,7.1,A,314.0,"A, e"
2020-12-06 00:00:00+00:00,,,13190500,7.1,A,312.0,"A, e"
2020-12-07 00:00:00+00:00,,,13190500,7.0,A,313.0,"A, e"
2020-12-08 00:00:00+00:00,,,13190500,6.8,A,313.0,"A, e"
2020-12-09 00:00:00+00:00,,,13190500,6.7,A,313.0,A
2020-12-10 00:00:00+00:00,,,13190500,6.7,A,311.0,A
2020-12-11 00:00:00+00:00,,,13190500,6.5,A,308.0,A
2020-12-12 00:00:00+00:00,,,13190500,6.3,A,308.0,A
2020-12-13 00:00:00+00:00,,,13190500,6.1,A,308.0,A
2020-12-14 00:00:00+00:00,,,13190500,6.4,A,309.0,A
2020-12-15 00:00:00+00:00,,,13190500,6.2,A,313.0,A
2020-12-16 00:00:00+00:00,,,13190500,6.3,A,310.0,A
2020-12-17 00:00:00+00:00,,,13190500,6.3,A,308.0,A
2020-12-18 00:00:00+00:00,6.1,P,13190500,6.1,A,308.0,A
2020-12-19 00:00:00+00:00,6.0,P,13190500,6.0,A,309.0,A
2020-12-20 00:00:00+00:00,6.2,P,13190500,6.2,A,305.0,A
2020-12-21 00:00:00+00:00,6.2,P,13190500,6.2,A,306.0,A
2020-12-22 00:00:00+00:00,5.7,P,13190500,5.7,A,304.0,A
2020-12-23 00:00:00+00:00,5.4,P,13190500,5.4,A,306.0,A
2020-12-24 00:00:00+00:00,5.2,P,13190500,5.2,A,310.0,A
2020-12-25 00:00:00+00:00,5.3,P,13190500,5.3,A,308.0,A
2020-12-26 00:00:00+00:00,5.4,P,13190500,5.4,A,306.0,A
2020-12-27 00:00:00+00:00,5.2,P,13190500,5.2,A,304.0,A
2020-12-28 00:00:00+00:00,4.9,P,13190500,4.9,A,308.0,A
2020-12-29 00:00:00+00:00,4.9,P,13190500,4.9,A,308.0,A
2020-12-30 00:00:00+00:00,5.0,P,13190500,5.0,A,308.0,A
2020-12-31 00:00:00+00:00,5.1,P,13190500,5.1,A,308.0,A
2021-01-01 00:00:00+00:00,5.0,P,13190500,5.0,A,308.0,A
2021-01-02 00:00:00+00:00,5.1,P,13190500,5.1,A,308.0,A
2021-01-03 00:00:00+00:00,5.0,P,13190500,5.0,A,306.0,A
2021-01-04 00:00:00+00:00,4.7,P,13190500,4.7,A,304.0,A
2021-01-05 00:00:00+00:00,4.8,P,13190500,4.8,A,305.0,A
2021-01-06 00:00:00+00:00,4.6,P,13190500,4.6,A,308.0,A
2021-01-07 00:00:00+00:00,4.8,P,13190500,4.8,A,308.0,A
2021-01-08 00:00:00+00:00,4.6,P,13190500,4.6,A,308.0,A
2021-01-09 00:00:00+00:00,4.7,P,13190500,4.7,A,308.0,A
2021-01-10 00:00:00+00:00,4.5,P,13190500,4.5,A,308.0,A
2021-01-11 00:00:00+00:00,4.2,P,13190500,4.2,A,308.0,A
2021-01-12 00:00:00+00:00,3.9,P,13190500,3.9,A,308.0,A
2021-01-13 00:00:00+00:00,4.4,P,13190500,4.4,A,306.0,A
2021-01-14 00:00:00+00:00,4.2,P,13190500,4.2,A,308.0,A
2021-01-15 00:00:00+00:00,4.2,P,13190500,4.2,A,306.0,A
2021-01-16 00:00:00+00:00,4.3,P,13190500,4.3,A,305.0,A
2021-01-17 00:00:00+00:00,4.2,P,13190500,4.2,A,306.0,A
2021-01-18 00:00:00+00:00,4.1,P,13190500,4.1,A,304.0,A
2021-01-19 00:00:00+00:00,3.9,P,13190500,3.9,A,304.0,A
2021-01-20 00:00:00+00:00,3.8,P,13190500,3.8,A,307.0,A
2021-01-21 00:00:00+00:00,4.1,P,13190500,4.1,A,308.0,A
2021-01-22 00:00:00+00:00,4.0,P,13190500,4.0,A,308.0,A
2021-01-23 00:00:00+00:00,3.8,P,13190500,3.8,A,308.0,A
2021-01-24 00:00:00+00:00,3.6,P,13190500,3.6,A,308.0,A
2021-01-25 00:00:00+00:00,,,13190500,3.3,A,306.0,A
2021-01-26 00:00:00+00:00,,,13190500,3.5,A,305.0,A
2021-01-27 00:00:00+00:00,,,13190500,3.2,A,303.0,A
2021-01-28 00:00:00+00:00,,,13190500,3.5,A,306.0,A
2021-01-29 00:00:00+00:00,,,13190500,3.6,A,306.0,A
2021-01-30 00:00:00+00:00,,,13190500,3.8,A,305.0,A
2021-01-31 00:00:00+00:00,,,13190500,3.7,A,306.0,A
2021-02-01 00:00:00+00:00,,,13190500,3.8,A,304.0,A
2021-02-02 00:00:00+00:00,,,13190500,3.5,A,303.0,A
2021-02-03 00:00:00+00:00,,,13190500,3.8,A,301.0,A
2021-02-04 00:00:00+00:00,,,13190500,3.8,A,301.0,A
2021-02-05 00:00:00+00:00,,,13190500,4.0,A,305.0,A
2021-02-06 00:00:00+00:00,,,13190500,3.9,A,303.0,A
2021-02-07 00:00:00+00:00,,,13190500,3.9,A,299.0,A
2021-02-08 00:00:00+00:00,,,13190500,3.8,A,299.0,A
2021-02-09 00:00:00+00:00,,,13190500,3.8,A,299.0,A
2021-02-10 00:00:00+00:00,,,13190500,3.6,A,302.0,A
2021-02-11 00:00:00+00:00,,,13190500,3.8,A,304.0,A
2021-02-12 00:00:00+00:00,,,13190500,3.8,A,302.0,A
2021-02-13 00:00:00+00:00,,,13190500,3.7,A,304.0,A
2021-02-14 00:00:00+00:00,,,13190500,3.8,A,302.0,A
2021-02-15 00:00:00+00:00,,,13190500,3.7,A,300.0,A
2021-02-16 00:00:00+00:00,,,13190500,3.9,A,303.0,A
2021-02-17 00:00:00+00:00,,,13190500,3.7,A,301.0,A
2021-02-18 00:00:00+00:00,,,13190500,3.6,A,304.0,A
2021-02-19 00:00:00+00:00,,,13190500,3.6,A,302.0,A
2021-02-20 00:00:00+00:00,,,13190500,3.6,A,303.0,A
2021-02-21 00:00:00+00:00,,,13190500,3.8,A,299.0,A
2021-02-22 00:00:00+00:00,,,13190500,4.0,A,297.0,A
2021-02-23 00:00:00+00:00,,,13190500,3.8,A,310.0,A
2021-02-24 00:00:00+00:00,,,13190500,3.7,A,312.0,A
2021-02-25 00:00:00+00:00,,,13190500,3.4,A,304.0,A
2021-02-26 00:00:00+00:00,,,13190500,3.5,A,304.0,A
2021-02-27 00:00:00+00:00,,,13190500,3.7,A,299.0,A
2021-02-28 00:00:00+00:00,,,13190500,3.5,A,305.0,A
2021-03-01 00:00:00+00:00,,,13190500,3.5,A,307.0,A
2021-03-02 00:00:00+00:00,,,13190500,3.4,A,304.0,A
2021-03-03 00:00:00+00:00,,,13190500,3.4,A,299.0,A
2021-03-04 00:00:00+00:00,,,13190500,3.5,A,299.0,A
2021-03-05 00:00:00+00:00,,,13190500,3.6,A,299.0,A
2021-03-06 00:00:00+00:00,,,13190500,3.6,A,296.0,A
2021-03-07 00:00:00+00:00,,,13190500,3.7,A,297.0,A
2021-03-08 00:00:00+00:00,,,13190500,3.8,A,300.0,A
2021-03-09 00:00:00+00:00,,,13190500,3.8,A,296.0,A
2021-03-10 00:00:00+00:00,,,13190500,3.7,A,305.0,A
2021-03-11 00:00:00+00:00,,,13190500,3.8,A,316.0,A
2021-03-12 00:00:00+00:00,,,13190500,3.7,A,308.0,A
2021-03-13 00:00:00+00:00,,,13190500,3.8,A,306.0,A
2021-03-14 00:00:00+00:00,,,13190500,3.9,A,308.0,A
2021-03-15 00:00:00+00:00,,,13190500,3.9,A,310.0,A
2021-03-16 00:00:00+00:00,,,13190500,4.1,A,306.0,A
2021-03-17 00:00:00+00:00,,,13190500,4.0,A,305.0,A
2021-03-18 00:00:00+00:00,,,13190500,4.2,A,312.0,A
2021-03-19 00:00:00+00:00,,,13190500,4.2,A,301.0,A
2021-03-20 00:00:00+00:00,,,13190500,4.3,A,306.0,A
2021-03-21 00:00:00+00:00,,,13190500,4.2,A,305.0,A
2021-03-22 00:00:00+00:00,,,13190500,4.1,A,306.0,A
2021-03-23 00:00:00+00:00,,,13190500,4.3,A,306.0,A
2021-03-24 00:00:00+00:00,,,13190500,4.0,A,309.0,A
2021-03-25 00:00:00+00:00,,,13190500,4.3,A,301.0,A
2021-03-26 00:00:00+00:00,,,13190500,4.3,A,303.0,A
2021-03-27 00:00:00+00:00,,,13190500,4.4,A,303.0,A
2021-03-28 00:00:00+00:00,,,13190500,4.6,A,307.0,A
2021-03-29 00:00:00+00:00,,,13190500,4.2,A,306.0,A
2021-03-30 00:00:00+00:00,,,13190500,4.3,A,303.0,A
2021-03-31 00:00:00+00:00,,,13190500,4.4,A,309.0,A
2021-04-01 00:00:00+00:00,,,13190500,4.5,A,623.0,A
2021-04-02 00:00:00+00:00,,,13190500,4.7,A,626.0,A
2021-04-03 00:00:00+00:00,,,13190500,4.6,A,624.0,A
2021-04-04 00:00:00+00:00,,,13190500,4.6,A,624.0,A
2021-04-05 00:00:00+00:00,,,13190500,4.4,A,624.0,A
2021-04-06 00:00:00+00:00,,,13190500,4.5,A,625.0,A
2021-04-07 00:00:00+00:00,,,13190500,4.6,A,623.0,A
2021-04-08 00:00:00+00:00,,,13190500,4.4,A,632.0,A
2021-04-09 00:00:00+00:00,,,13190500,4.5,A,631.0,A
2021-04-10 00:00:00+00:00,,,13190500,4.5,A,637.0,A
2021-04-11 00:00:00+00:00,,,13190500,4.4,A,634.0,A
2021-04-12 00:00:00+00:00,,,13190500,4.6,A,629.0,A
2021-04-13 00:00:00+00:00,,,13190500,4.7,A,622.0,A
2021-04-14 00:00:00+00:00,,,13190500,4.9,A,623.0,A
2021-04-15 00:00:00+00:00,,,13190500,4.7,A,633.0,A
2021-04-16 00:00:00+00:00,,,13190500,4.8,A,625.0,A
2021-04-17 00:00:00+00:00,,,13190500,4.9,A,628.0,A
2021-04-18 00:00:00+00:00,,,13190500,5.1,A,623.0,A
2021-04-19 00:00:00+00:00,,,13190500,5.0,A,626.0,A
2021-04-20 00:00:00+00:00,,,13190500,5.0,A,620.0,A
2021-04-21 00:00:00+00:00,,,13190500,5.1,A,625.0,A
2021-04-22 00:00:00+00:00,,,13190500,5.0,A,626.0,A
2021-04-23 00:00:00+00:00,,,13190500,5.0,A,625.0,A
2021-04-24 00:00:00+00:00,,,13190500,4.9,A,626.0,A
2021-04-25 00:00:00+00:00,,,13190500,5.0,A,623.0,A
2021-04-26 00:00:00+00:00,,,13190500,5.0,A,628.0,A
2021-04-27 00:00:00+00:00,,,13190500,5.1,A,622.0,A
2021-04-28 00:00:00+00:00,,,13190500,5.2,A,613.0,A
2021-04-29 00:00:00+00:00,,,13190500,5.2,A,623.0,A
2021-04-30 00:00:00+00:00,,,13190500,5.4,A,590.0,A
2021-05-01 00:00:00+00:00,,,13190500,5.2,A,595.0,A
2021-05-02 00:00:00+00:00,,,13190500,5.2,A,598.0,A
2021-05-03 00:00:00+00:00,,,13190500,5.3,A,597.0,A
2021-05-04 00:00:00+00:00,,,13190500,5.4,A,607.0,A
2021-05-05 00:00:00+00:00,,,13190500,5.2,A,610.0,A
2021-05-06 00:00:00+00:00,,,13190500,5.3,A,597.0,A
2021-05-07 00:00:00+00:00,,,13190500,5.1,A,604.0,A
2021-05-08 00:00:00+00:00,,,13190500,5.2,A,613.0,A
2021-05-09 00:00:00+00:00,,,13190500,5.4,A,610.0,A
2021-05-10 00:00:00+00:00,,,13190500,5.3,A,611.0,A
2021-05-11 00:00:00+00:00,,,13190500,5.2,A,620.0,A
2021-05-12 00:00:00+00:00,,,13190500,5.2,A,1080.0,A
2021-05-13 00:00:00+00:00,,,13190500,5.2,A,1570.0,A
2021-05-14 00:00:00+00:00,,,13190500,5.3,A,1580.0,A
2021-05-15 00:00:00+00:00,,,13190500,5.2,A,1590.0,A
2021-05-16 00:00:00+00:00,,,13190500,5.3,A,1590.0,A
2021-05-17 00:00:00+00:00,,,13190500,5.4,A,1590.0,A
2021-05-18 00:00:00+00:00,,,13190500,5.3,A,1590.0,A
2021-05-19 00:00:00+00:00,,,13190500,5.3,A,1580.0,A
2021-05-20 00:00:00+00:00,,,13190500,5.4,A,1590.0,A
2021-05-21 00:00:00+00:00,,,13190500,5.3,A,1590.0,A
2021-05-22 00:00:00+00:00,,,13190500,5.4,A,1590.0,A
2021-05-23 00:00:00+00:00,,,13190500,5.3,A,1580.0,A
2021-05-24 00:00:00+00:00,,,13190500,5.5,A,1590.0,A
2021-05-25 00:00:00+00:00,,,13190500,5.5,A,1590.0,A
2021-05-26 00:00:00+00:00,,,13190500,5.5,A,1590.0,A
2021-05-27 00:00:00+00:00,,,13190500,5.6,A,1760.0,A
2021-05-28 00:00:00+00:00,,,13190500,5.6,A,1770.0,A
2021-05-29 00:00:00+00:00,,,13190500,5.7,A,1770.0,A
2021-05-30 00:00:00+00:00,,,13190500,5.6,A,1770.0,A
2021-05-31 00:00:00+00:00,,,13190500,5.8,A,1760.0,A
2021-06-01 00:00:00+00:00,,,13190500,5.8,A,1770.0,A
2021-06-02 00:00:00+00:00,,,13190500,5.9,A,1770.0,A
2021-06-03 00:00:00+00:00,,,13190500,5.9,A,1770.0,A
2021-06-04 00:00:00+00:00,,,13190500,6.0,A,1780.0,A
2021-06-05 00:00:00+00:00,,,13190500,6.0,A,1770.0,A
2021-06-06 00:00:00+00:00,,,13190500,5.9,A,1780.0,A
2021-06-07 00:00:00+00:00,,,13190500,6.0,A,1780.0,A
2021-06-08 00:00:00+00:00,,,13190500,6.1,A,1760.0,A
2021-06-09 00:00:00+00:00,,,13190500,6.2,A,1770.0,A
2021-06-10 00:00:00+00:00,,,13190500,6.0,A,1780.0,A
2021-06-11 00:00:00+00:00,,,13190500,6.2,A,1760.0,A
2021-06-12 00:00:00+00:00,,,13190500,6.3,A,1760.0,A
2021-06-13 00:00:00+00:00,,,13190500,6.5,A,1760.0,A
2021-06-14 00:00:00+00:00,,,13190500,6.4,A,1760.0,A
2021-06-15 00:00:00+00:00,,,13190500,6.5,A,1760.0,A
2021-06-16 00:00:00+00:00,,,13190500,6.7,A,1780.0,A
2021-06-17 00:00:00+00:00,,,13190500,6.7,A,1770.0,A
2021-06-18 00:00:00+00:00,,,13190500,6.8,A,1770.0,A
2021-06-19 00:00:00+00:00,,,13190500,6.8,A,1770.0,A
2021-06-20 00:00:00+00:00,,,13190500,6.9,A,1760.0,A
2021-06-21 00:00:00+00:00,,,13190500,7.1,A,1760.0,A
2021-06-22 00:00:00+00:00,,,13190500,7.2,A,1770.0,A
2021-06-23 00:00:00+00:00,,,13190500,7.1,A,1770.0,A
2021-06-24 00:00:00+00:00,,,13190500,7.3,A,1780.0,A
2021-06-25 00:00:00+00:00,7.4,P,13190500,7.4,A,1770.0,A
2021-06-26 00:00:00+00:00,7.5,P,13190500,7.5,A,1770.0,A
2021-06-27 00:00:00+00:00,7.7,P,13190500,7.7,A,1760.0,A
2021-06-28 00:00:00+00:00,7.8,P,13190500,7.8,A,1760.0,A
2021-06-29 00:00:00+00:00,7.9,P,13190500,7.9,A,1750.0,A
2021-06-30 00:00:00+00:00,8.0,P,13190500,8.0,A,1500.0,A
2021-07-01 00:00:00+00:00,8.1,P,13190500,8.1,A,1220.0,A
2021-07-02 00:00:00+00:00,8.1,P,13190500,8.1,A,1220.0,A
2021-07-03 00:00:00+00:00,8.2,P,13190500,8.2,A,1210.0,A
2021-07-04 00:00:00+00:00,8.2,P,13190500,8.2,A,1190.0,A
2021-07-05 00:00:00+00:00,8.4,P,13190500,8.4,A,1200.0,A
2021-07-06 00:00:00+00:00,8.5,P,13190500,8.5,A,1200.0,A
2021-07-07 00:00:00+00:00,8.5,P,13190500,8.5,A,1190.0,A
2021-07-08 00:00:00+00:00,8.6,P,13190500,8.6,A,1190.0,A
2021-07-09 00:00:00+00:00,8.7,P,13190500,8.7,A,1190.0,A
2021-07-10 00:00:00+00:00,8.7,P,13190500,8.7,A,1200.0,A
2021-07-11 00:00:00+00:00,9.0,P,13190500,9.0,A,1210.0,A
2021-07-12 00:00:00+00:00,8.8,P,13190500,8.8,A,1220.0,A
2021-07-13 00:00:00+00:00,9.1,P,13190500,9.1,A,1400.0,A
2021-07-14 00:00:00+00:00,9.1,P,13190500,9.1,A,1390.0,A
2021-07-15 00:00:00+00:00,9.3,P,13190500,9.3,A,1390.0,A
2021-07-16 00:00:00+00:00,9.3,P,13190500,9.3,A,1390.0,A
2021-07-17 00:00:00+00:00,9.4,P,13190500,9.4,A,1390.0,A
2021-07-18 00:00:00+00:00,9.5,P,13190500,9.5,A,1390.0,A
2021-07-19 00:00:00+00:00,9.5,P,13190500,9.5,A,1380.0,A
2021-07-20 00:00:00+00:00,9.7,P,13190500,9.7,A,1390.0,A
2021-07-21 00:00:00+00:00,9.8,P,13190500,9.8,A,1390.0,A
