date,TAVG_DAILY,TMAX_DAILY,TMIN_DAILY
2004-12-04,27.7,36.3,17.4
2004-12-05,24.6,28.2,21.0
2004-12-06,20.3,25.2,17.8
2004-12-07,23.7,27.7,18.1
2004-12-08,23.9,26.4,20.8
2004-12-09,26.6,28.0,25.0
2004-12-10,30.9,34.9,25.3
2004-12-11,37.9,42.3,33.3
2004-12-12,31.6,39.6,17.8
2004-12-13,27.1,32.7,18.9
2004-12-14,32.7,37.2,27.5
2004-12-15,25.7,29.8,20.5
2004-12-16,23.0,28.6,10.6
2004-12-17,29.3,34.9,26.4
2004-12-18,26.8,31.8,21.7
2004-12-19,30.9,36.0,26.2
2004-12-20,27.0,32.0,20.8
2004-12-21,14.7,22.1,0.1
2004-12-22,4.8,12.7,-5.6
2004-12-23,-2.9,1.4,-8.0
2004-12-24,17.6,27.5,-0.2
2004-12-25,28.8,33.1,21.6
2004-12-26,32.9,37.9,28.6
2004-12-27,34.9,42.8,29.5
2004-12-28,32.9,35.4,30.4
2004-12-29,36.0,41.9,28.0
2004-12-30,24.6,28.4,22.6
2004-12-31,30.2,36.5,23.4
2005-01-01,25.9,33.4,18.7
2005-01-02,27.1,36.0,16.2
2005-01-03,26.1,33.3,15.3
2005-01-04,12.2,22.6,-4.2
2005-01-05,11.7,23.4,-3.1
2005-01-06,16.9,20.3,13.3
2005-01-07,18.7,28.4,11.3
2005-01-08,26.4,29.1,22.3
2005-01-09,30.7,34.3,28.2
2005-01-10,32.9,37.8,28.2
2005-01-11,30.9,35.6,25.2
2005-01-12,20.8,27.1,13.6
2005-01-13,16.5,20.3,12.9
2005-01-14,20.8,25.3,16.3
2005-01-15,23.2,26.1,20.3
2005-01-16,29.1,33.1,23.5
2005-01-17,29.8,33.8,27.3
2005-01-18,32.9,36.7,27.5
2005-01-19,36.5,40.3,33.1
2005-01-20,41.7,50.5,35.1
2005-01-21,36.3,42.1,23.4
2005-01-22,32.9,40.8,20.1
2005-01-23,37.2,45.0,28.4
2005-01-24,34.7,48.6,26.1
2005-01-25,34.2,41.9,23.5
2005-01-26,32.5,41.4,24.4
2005-01-27,31.1,40.5,21.7
2005-01-28,30.6,36.1,21.2
2005-01-29,24.3,31.3,14.0
2005-01-30,25.3,32.0,20.5
2005-01-31,17.4,25.7,9.5
2005-02-01,14.5,26.1,1.8
2005-02-02,16.9,30.9,1.0
2005-02-03,27.1,37.2,18.3
2005-02-04,30.6,37.9,19.2
2005-02-05,29.1,35.2,21.4
2005-02-06,16.7,23.2,9.1
2005-02-07,25.3,35.2,13.5
2005-02-08,16.3,22.6,11.5
2005-02-09,18.0,22.8,12.4
2005-02-10,26.8,36.7,18.1
2005-02-11,31.5,44.2,16.9
2005-02-12,36.3,40.3,30.9
2005-02-13,29.3,32.4,25.2
2005-02-14,31.5,36.5,28.8
2005-02-15,22.6,30.2,16.3
2005-02-16,21.6,25.9,12.0
2005-02-17,20.8,32.5,9.1
2005-02-18,31.3,40.1,18.3
2005-02-19,31.5,39.6,26.2
2005-02-20,28.2,34.7,25.0
2005-02-21,27.0,31.6,23.5
2005-02-22,26.1,30.0,21.7
2005-02-23,23.4,30.4,9.5
2005-02-24,18.5,35.2,6.1
2005-02-25,20.5,36.1,9.0
2005-02-26,25.0,36.0,13.6
2005-02-27,22.1,32.7,7.7
2005-02-28,26.6,33.8,21.2
2005-03-01,26.4,33.3,21.2
2005-03-02,25.9,34.2,18.9
2005-03-03,26.1,40.8,15.4
2005-03-04,28.2,39.6,14.0
2005-03-05,30.2,43.9,16.3
2005-03-06,32.9,41.7,27.3
2005-03-07,30.6,39.6,24.8
2005-03-08,29.1,33.1,27.5
2005-03-09,35.1,43.0,28.2
2005-03-10,32.2,39.6,27.1
2005-03-11,34.7,42.1,27.3
2005-03-12,34.7,45.7,18.7
2005-03-13,15.3,26.1,-1.8
2005-03-14,7.0,19.6,-5.1
2005-03-15,15.6,30.0,0.5
2005-03-16,21.9,28.4,15.8
2005-03-17,23.7,30.4,18.0
2005-03-18,21.9,28.8,16.5
2005-03-19,30.4,38.1,23.5
2005-03-20,30.7,42.8,21.7
2005-03-21,26.2,31.1,23.5
2005-03-22,28.4,38.3,21.9
2005-03-23,30.9,44.4,24.1
2005-03-24,24.6,36.9,15.3
2005-03-25,19.2,30.2,10.9
2005-03-26,23.0,36.9,10.6
2005-03-27,32.4,44.1,21.0
2005-03-28,39.4,50.2,31.3
2005-03-29,29.7,38.1,23.4
2005-03-30,24.4,39.0,17.4
2005-03-31,21.4,31.1,16.3
2005-04-01,30.9,43.3,18.5
2005-04-02,38.5,48.7,31.1
2005-04-03,43.2,52.5,33.4
2005-04-04,39.6,49.1,31.6
2005-04-05,32.7,41.2,27.7
2005-04-06,35.6,51.8,25.5
2005-04-07,41.7,59.0,25.3
2005-04-08,37.6,52.0,29.5
2005-04-09,32.7,43.7,27.7
2005-04-10,25.0,29.1,21.4
2005-04-11,26.8,33.1,20.1
2005-04-12,35.1,49.3,26.8
2005-04-13,40.8,54.3,29.7
2005-04-14,45.0,57.0,32.2
2005-04-15,35.2,46.0,27.9
2005-04-16,40.8,57.4,27.5
2005-04-17,44.1,58.6,32.9
2005-04-18,45.5,58.1,35.1
2005-04-19,40.1,49.6,30.9
2005-04-20,32.7,43.3,25.7
2005-04-21,30.7,37.8,24.8
2005-04-22,35.1,46.0,29.1
2005-04-23,38.7,55.0,29.8
2005-04-24,34.9,42.4,30.2
2005-04-25,33.6,42.3,27.3
2005-04-26,33.4,43.7,25.7
2005-04-27,32.7,43.3,24.3
2005-04-28,25.7,34.2,16.7
2005-04-29,22.1,34.3,14.5
2005-04-30,24.8,30.7,21.2
2005-05-01,25.3,33.6,20.5
2005-05-02,27.3,40.3,12.4
2005-05-03,32.0,45.3,18.9
2005-05-04,39.6,52.2,30.2
2005-05-05,42.6,56.5,33.8
2005-05-06,43.0,53.6,34.7
2005-05-07,34.9,43.5,29.7
2005-05-08,36.9,44.2,32.5
2005-05-09,45.0,57.2,33.4
2005-05-10,44.8,57.7,33.6
2005-05-11,33.4,39.4,27.3
2005-05-12,35.1,45.5,28.0
2005-05-13,38.3,48.9,30.6
2005-05-14,40.5,53.2,28.2
2005-05-15,45.1,55.8,32.2
2005-05-16,47.3,61.2,39.6
2005-05-17,42.8,49.5,37.4
2005-05-18,46.8,58.5,36.7
2005-05-19,52.0,65.8,41.5
2005-05-20,57.4,71.1,43.5
2005-05-21,55.8,69.4,40.1
2005-05-22,54.5,70.7,38.7
2005-05-23,52.7,70.2,40.1
2005-05-24,51.4,66.9,38.3
2005-05-25,45.7,57.0,36.0
2005-05-26,42.8,54.3,34.0
2005-05-27,44.2,61.2,30.7
2005-05-28,45.9,61.7,32.4
2005-05-29,38.5,48.6,34.7
2005-05-30,38.3,47.3,34.3
2005-05-31,42.3,55.2,34.2
2005-06-01,48.4,61.3,38.1
2005-06-02,43.5,56.5,37.9
2005-06-03,39.9,50.7,34.3
2005-06-04,37.9,45.0,33.4
2005-06-05,46.0,58.3,36.5
2005-06-06,52.0,66.0,36.5
2005-06-07,48.2,61.5,37.0
2005-06-08,48.7,63.1,37.9
2005-06-09,45.1,58.1,36.1
2005-06-10,37.9,42.8,34.5
2005-06-11,43.7,56.1,33.8
2005-06-12,38.5,44.8,34.2
2005-06-13,44.1,55.2,33.8
2005-06-14,50.2,63.3,39.4
2005-06-15,51.8,69.1,39.2
2005-06-16,52.7,69.1,38.3
2005-06-17,57.4,72.5,39.0
2005-06-18,61.3,75.4,49.3
2005-06-19,60.1,77.0,47.8
2005-06-20,60.4,76.1,46.8
2005-06-21,60.6,76.6,48.0
2005-06-22,56.8,75.0,46.0
2005-06-23,57.0,68.4,50.2
2005-06-24,55.0,70.2,43.0
2005-06-25,53.2,69.4,41.9
2005-06-26,51.6,65.1,41.7
2005-06-27,56.5,70.5,40.3
2005-06-28,56.5,71.1,44.4
2005-06-29,52.0,63.3,41.7
2005-06-30,53.6,70.0,38.5
2005-07-01,58.6,72.1,44.4
2005-07-02,59.4,74.5,46.4
2005-07-03,50.7,65.7,41.5
2005-07-04,52.5,67.8,39.2
2005-07-05,54.3,70.9,39.2
2005-07-06,57.7,73.9,43.5
2005-07-07,60.6,74.8,46.8
2005-07-08,60.6,76.6,46.2
2005-07-09,60.8,78.8,48.2
2005-07-10,59.9,73.4,45.3
2005-07-11,60.3,77.4,45.0
2005-07-12,60.8,76.8,46.2
2005-07-13,62.6,79.2,47.1
2005-07-14,58.6,82.0,47.3
2005-07-15,60.1,76.6,45.5
2005-07-16,65.5,78.4,49.5
2005-07-17,61.2,77.5,50.2
2005-07-18,57.0,72.7,43.9
2005-07-19,62.4,79.3,45.0
2005-07-20,66.2,83.7,50.5
2005-07-21,65.1,84.0,51.3
