,Date,Discharge cubic feet per second
203,1987-08-20,176.0
204,1987-08-21,172.0
205,1987-08-22,170.0
206,1987-08-23,168.0
207,1987-08-24,175.0
208,1987-08-25,175.0
209,1987-08-26,160.0
210,1987-08-27,188.0
211,1987-08-28,279.0
212,1987-08-29,295.0
213,1987-08-30,295.0
214,1987-08-31,295.0
215,1987-09-01,295.0
216,1987-09-02,295.0
217,1987-09-03,236.0
218,1987-09-04,190.0
219,1987-09-05,183.0
220,1987-09-06,186.0
221,1987-09-07,186.0
222,1987-09-08,147.0
223,1987-09-09,63.0
224,1987-09-10,63.0
225,1987-09-11,67.0
226,1987-09-12,67.0
227,1987-09-13,65.0
228,1987-09-14,65.0
229,1987-09-15,67.0
230,1987-09-16,67.0
231,1987-09-17,67.0
232,1987-09-18,100.0
233,1987-09-19,126.0
234,1987-09-20,126.0
235,1987-09-21,126.0
236,1987-09-22,123.0
237,1987-09-23,126.0
238,1987-09-24,160.0
239,1987-09-25,247.0
240,1987-09-26,251.0
241,1987-09-27,255.0
242,1987-09-28,247.0
243,1987-09-29,247.0
244,1987-09-30,194.0
245,1987-10-01,159.0
246,1987-10-02,140.0
247,1987-10-03,126.0
248,1987-10-04,126.0
249,1987-10-05,126.0
250,1987-10-06,119.0
251,1987-10-07,123.0
252,1987-10-08,123.0
253,1987-10-09,123.0
254,1987-10-10,143.0
255,1987-10-11,161.0
256,1987-10-12,161.0
257,1987-10-13,157.0
258,1987-10-14,161.0
259,1987-10-15,93.0
260,1987-10-16,124.0
261,1987-10-17,247.0
262,1987-10-18,247.0
263,1987-10-19,213.0
264,1987-10-20,247.0
265,1987-10-21,247.0
266,1987-10-22,186.0
267,1987-10-23,150.0
268,1987-10-24,150.0
269,1987-10-25,89.0
270,1987-10-26,55.0
271,1987-10-27,86.0
272,1987-10-28,154.0
273,1987-10-29,126.0
274,1987-10-30,74.0
275,1987-10-31,55.0
276,1987-11-01,53.0
277,1987-11-02,53.0
278,1987-11-03,55.0
279,1987-11-04,55.0
280,1987-11-05,55.0
281,1987-11-06,58.0
282,1987-11-07,55.0
283,1987-11-08,55.0
284,1987-11-09,55.0
285,1987-11-10,53.0
286,1987-11-11,55.0
287,1987-11-12,55.0
288,1987-11-13,55.0
289,1987-11-14,55.0
290,1987-11-15,55.0
291,1987-11-16,55.0
292,1987-11-17,55.0
293,1987-11-18,55.0
294,1987-11-19,55.0
295,1987-11-20,55.0
296,1987-11-21,55.0
297,1987-11-22,55.0
298,1987-11-23,55.0
299,1987-11-24,55.0
300,1987-11-25,55.0
301,1987-11-26,55.0
302,1987-11-27,55.0
303,1987-11-28,55.0
304,1987-11-29,55.0
305,1987-11-30,55.0
306,1987-12-01,55.0
307,1987-12-02,54.0
308,1987-12-03,53.0
309,1987-12-04,53.0
310,1987-12-05,53.0
311,1987-12-06,53.0
312,1987-12-07,53.0
313,1987-12-08,55.0
314,1987-12-09,56.0
315,1987-12-10,56.0
316,1987-12-11,56.0
317,1987-12-12,55.0
318,1987-12-13,55.0
319,1987-12-14,55.0
320,1987-12-15,55.0
321,1987-12-16,53.0
322,1987-12-17,53.0
323,1987-12-18,51.0
324,1987-12-19,50.0
325,1987-12-20,49.0
326,1987-12-21,49.0
327,1987-12-22,51.0
328,1987-12-23,51.0
329,1987-12-24,51.0
330,1987-12-25,51.0
331,1987-12-26,51.0
332,1987-12-27,53.0
333,1987-12-28,53.0
334,1987-12-29,53.0
335,1987-12-30,53.0
336,1987-12-31,53.0
337,1988-01-01,55.0
338,1988-01-02,55.0
339,1988-01-03,56.0
340,1988-01-04,56.0
341,1988-01-05,56.0
342,1988-01-06,58.0
343,1988-01-07,58.0
344,1988-01-08,58.0
345,1988-01-09,58.0
346,1988-01-10,56.0
347,1988-01-11,56.0
348,1988-01-12,56.0
349,1988-01-13,55.0
350,1988-01-14,55.0
351,1988-01-15,55.0
352,1988-01-16,53.0
353,1988-01-17,53.0
354,1988-01-18,53.0
355,1988-01-19,58.0
356,1988-01-20,68.0
357,1988-01-21,53.0
358,1988-01-22,53.0
359,1988-01-23,53.0
360,1988-01-24,53.0
361,1988-01-25,53.0
362,1988-01-26,59.0
363,1988-01-27,74.0
364,1988-01-28,51.0
365,1988-01-29,53.0
366,1988-01-30,53.0
367,1988-01-31,53.0
368,1988-02-01,53.0
369,1988-02-02,53.0
370,1988-02-03,53.0
371,1988-02-04,53.0
372,1988-02-05,53.0
373,1988-02-06,53.0
374,1988-02-07,53.0
375,1988-02-08,53.0
376,1988-02-09,53.0
377,1988-02-10,53.0
378,1988-02-11,63.0
379,1988-02-12,89.0
380,1988-02-13,101.0
381,1988-02-14,101.0
382,1988-02-15,101.0
383,1988-02-16,101.0
384,1988-02-17,101.0
385,1988-02-18,101.0
386,1988-02-19,101.0
387,1988-02-20,101.0
388,1988-02-21,101.0
389,1988-02-22,101.0
390,1988-02-23,101.0
391,1988-02-24,101.0
392,1988-02-25,98.0
393,1988-02-26,98.0
394,1988-02-27,98.0
395,1988-02-28,95.0
396,1988-02-29,101.0
397,1988-03-01,101.0
398,1988-03-02,101.0
399,1988-03-03,101.0
400,1988-03-04,101.0
401,1988-03-05,101.0
402,1988-03-06,101.0
403,1988-03-07,101.0
404,1988-03-08,98.0
405,1988-03-09,101.0
406,1988-03-10,101.0
407,1988-03-11,101.0
408,1988-03-12,101.0
409,1988-03-13,98.0
410,1988-03-14,95.0
411,1988-03-15,98.0
412,1988-03-16,98.0
413,1988-03-17,95.0
414,1988-03-18,98.0
415,1988-03-19,98.0
416,1988-03-20,101.0
417,1988-03-21,101.0
418,1988-03-22,101.0
419,1988-03-23,98.0
420,1988-03-24,103.0
421,1988-03-25,103.0
422,1988-03-26,101.0
423,1988-03-27,103.0
424,1988-03-28,101.0
425,1988-03-29,100.0
426,1988-03-30,98.0
427,1988-03-31,98.0
428,1988-04-01,98.0
429,1988-04-02,98.0
430,1988-04-03,98.0
431,1988-04-04,98.0
432,1988-04-05,98.0
433,1988-04-06,98.0
434,1988-04-07,98.0
435,1988-04-08,98.0
436,1988-04-09,98.0
437,1988-04-10,98.0
438,1988-04-11,101.0
439,1988-04-12,101.0
440,1988-04-13,101.0
441,1988-04-14,103.0
442,1988-04-15,103.0
443,1988-04-16,103.0
444,1988-04-17,103.0
445,1988-04-18,103.0
446,1988-04-19,103.0
447,1988-04-20,103.0
448,1988-04-21,103.0
449,1988-04-22,103.0
450,1988-04-23,103.0
451,1988-04-24,103.0
452,1988-04-25,103.0
453,1988-04-26,103.0
454,1988-04-27,103.0
455,1988-04-28,103.0
456,1988-04-29,103.0
457,1988-04-30,103.0
458,1988-05-01,103.0
459,1988-05-02,103.0
460,1988-05-03,103.0
461,1988-05-04,103.0
462,1988-05-05,103.0
463,1988-05-06,103.0
464,1988-05-07,103.0
465,1988-05-08,106.0
466,1988-05-09,106.0
467,1988-05-10,109.0
468,1988-05-11,98.0
469,1988-05-12,109.0
470,1988-05-13,109.0
471,1988-05-14,112.0
472,1988-05-15,109.0
473,1988-05-16,109.0
474,1988-05-17,109.0
475,1988-05-18,200.0
476,1988-05-19,277.0
477,1988-05-20,271.0
478,1988-05-21,326.0
479,1988-05-22,326.0
480,1988-05-23,329.0
481,1988-05-24,331.0
482,1988-05-25,331.0
483,1988-05-26,331.0
484,1988-05-27,331.0
485,1988-05-28,327.0
486,1988-05-29,326.0
487,1988-05-30,326.0
488,1988-05-31,326.0
489,1988-06-01,326.0
490,1988-06-02,233.0
491,1988-06-03,193.0
492,1988-06-04,458.0
493,1988-06-05,777.0
494,1988-06-06,1020.0
495,1988-06-07,1220.0
496,1988-06-08,1320.0
497,1988-06-09,1390.0
498,1988-06-10,1460.0
499,1988-06-11,1490.0
500,1988-06-12,1420.0
501,1988-06-13,1360.0
502,1988-06-14,1260.0
503,1988-06-15,1130.0
504,1988-06-16,1100.0
505,1988-06-17,1080.0
506,1988-06-18,1050.0
507,1988-06-19,1030.0
508,1988-06-20,1060.0
509,1988-06-21,1070.0
510,1988-06-22,1070.0
511,1988-06-23,1030.0
512,1988-06-24,972.0
513,1988-06-25,867.0
514,1988-06-26,811.0
515,1988-06-27,790.0
516,1988-06-28,777.0
517,1988-06-29,804.0
518,1988-06-30,777.0
519,1988-07-01,706.0
520,1988-07-02,642.0
521,1988-07-03,582.0
522,1988-07-04,558.0
523,1988-07-05,518.0
524,1988-07-06,480.0
525,1988-07-07,450.0
526,1988-07-08,390.0
527,1988-07-09,304.0
528,1988-07-10,239.0
529,1988-07-11,183.0
530,1988-07-12,154.0
531,1988-07-13,126.0
532,1988-07-14,112.0
533,1988-07-15,106.0
534,1988-07-16,103.0
535,1988-07-17,103.0
536,1988-07-18,103.0
537,1988-07-19,103.0
538,1988-07-20,103.0
539,1988-07-21,103.0
540,1988-07-22,103.0
541,1988-07-23,103.0
542,1988-07-24,103.0
543,1988-07-25,103.0
544,1988-07-26,103.0
545,1988-07-27,103.0
546,1988-07-28,103.0
547,1988-07-29,103.0
548,1988-07-30,101.0
549,1988-07-31,103.0
550,1988-08-01,101.0
551,1988-08-02,103.0
552,1988-08-03,103.0
553,1988-08-04,103.0
554,1988-08-05,103.0
555,1988-08-06,103.0
556,1988-08-07,101.0
557,1988-08-08,101.0
558,1988-08-09,101.0
559,1988-08-10,98.0
560,1988-08-11,98.0
561,1988-08-12,98.0
562,1988-08-13,98.0
563,1988-08-14,98.0
564,1988-08-15,98.0
565,1988-08-16,95.0
566,1988-08-17,83.0
567,1988-08-18,53.0
568,1988-08-19,55.0
569,1988-08-20,55.0
570,1988-08-21,56.0
571,1988-08-22,56.0
572,1988-08-23,56.0
573,1988-08-24,56.0
574,1988-08-25,92.0
575,1988-08-26,103.0
576,1988-08-27,103.0
577,1988-08-28,103.0
578,1988-08-29,103.0
579,1988-08-30,101.0
580,1988-08-31,101.0
581,1988-09-01,101.0
582,1988-09-02,101.0
583,1988-09-03,98.0
584,1988-09-04,98.0
585,1988-09-05,98.0
586,1988-09-06,98.0
587,1988-09-07,95.0
588,1988-09-08,95.0
589,1988-09-09,96.0
590,1988-09-10,98.0
591,1988-09-11,101.0
592,1988-09-12,101.0
593,1988-09-13,101.0
594,1988-09-14,101.0
595,1988-09-15,102.0
596,1988-09-16,103.0
597,1988-09-17,103.0
598,1988-09-18,101.0
599,1988-09-19,101.0
600,1988-09-20,102.0
601,1988-09-21,103.0
602,1988-09-22,103.0
603,1988-09-23,103.0
604,1988-09-24,101.0
605,1988-09-25,101.0
606,1988-09-26,99.0
607,1988-09-27,101.0
608,1988-09-28,101.0
609,1988-09-29,101.0
610,1988-09-30,101.0
611,1988-10-01,98.0
612,1988-10-02,99.0
613,1988-10-03,101.0
614,1988-10-04,101.0
615,1988-10-05,101.0
616,1988-10-06,101.0
617,1988-10-07,98.0
618,1988-10-08,98.0
619,1988-10-09,102.0
620,1988-10-10,101.0
621,1988-10-11,101.0
622,1988-10-12,101.0
623,1988-10-13,101.0
624,1988-10-14,101.0
625,1988-10-15,102.0
626,1988-10-16,103.0
627,1988-10-17,101.0
628,1988-10-18,101.0
629,1988-10-19,101.0
630,1988-10-20,101.0
631,1988-10-21,98.0
632,1988-10-22,99.0
633,1988-10-23,101.0
634,1988-10-24,101.0
635,1988-10-25,101.0
636,1988-10-26,89.0
637,1988-10-27,82.0
638,1988-10-28,84.0
639,1988-10-29,84.0
640,1988-10-30,84.0
641,1988-10-31,126.0
642,1988-11-01,161.0
643,1988-11-02,157.0
644,1988-11-03,129.0
645,1988-11-04,72.0
646,1988-11-05,71.0
647,1988-11-06,70.0
648,1988-11-07,69.0
649,1988-11-08,69.0
650,1988-11-09,68.0
651,1988-11-10,69.0
652,1988-11-11,69.0
653,1988-11-12,67.0
654,1988-11-13,68.0
655,1988-11-14,69.0
656,1988-11-15,56.0
657,1988-11-16,48.0
658,1988-11-17,47.0
659,1988-11-18,48.0
660,1988-11-19,48.0
661,1988-11-20,48.0
662,1988-11-21,49.0
663,1988-11-22,77.0
664,1988-11-23,49.0
665,1988-11-24,49.0
666,1988-11-25,49.0
667,1988-11-26,50.0
668,1988-11-27,51.0
669,1988-11-28,53.0
670,1988-11-29,51.0
671,1988-11-30,52.0
672,1988-12-01,53.0
673,1988-12-02,53.0
674,1988-12-03,51.0
675,1988-12-04,51.0
676,1988-12-05,50.0
677,1988-12-06,51.0
678,1988-12-07,51.0
679,1988-12-08,50.0
680,1988-12-09,49.0
681,1988-12-10,46.0
682,1988-12-11,47.0
683,1988-12-12,46.0
684,1988-12-13,46.0
685,1988-12-14,43.0
686,1988-12-15,43.0
687,1988-12-16,43.0
688,1988-12-17,44.0
689,1988-12-18,43.0
690,1988-12-19,43.0
691,1988-12-20,41.0
692,1988-12-21,41.0
693,1988-12-22,40.0
694,1988-12-23,40.0
695,1988-12-24,40.0
696,1988-12-25,40.0
697,1988-12-26,40.0
698,1988-12-27,40.0
699,1988-12-28,40.0
700,1988-12-29,39.0
701,1988-12-30,40.0
702,1988-12-31,40.0
703,1989-01-01,40.0
704,1989-01-02,40.0
705,1989-01-03,38.0
706,1989-01-04,39.0
707,1989-01-05,40.0
708,1989-01-06,40.0
709,1989-01-07,39.0
710,1989-01-08,38.0
711,1989-01-09,38.0
712,1989-01-10,38.0
713,1989-01-11,39.0
714,1989-01-12,40.0
715,1989-01-13,40.0
716,1989-01-14,40.0
717,1989-01-15,40.0
718,1989-01-16,40.0
719,1989-01-17,40.0
720,1989-01-18,41.0
721,1989-01-19,41.0
722,1989-01-20,41.0
723,1989-01-21,41.0
724,1989-01-22,40.0
725,1989-01-23,40.0
726,1989-01-24,41.0
727,1989-01-25,41.0
728,1989-01-26,41.0
729,1989-01-27,41.0
730,1989-01-28,41.0
731,1989-01-29,42.0
732,1989-01-30,43.0
733,1989-01-31,43.0
734,1989-02-01,43.0
735,1989-02-02,43.0
736,1989-02-03,43.0
737,1989-02-04,44.0
738,1989-02-05,44.0
739,1989-02-06,44.0
740,1989-02-07,43.0
741,1989-02-08,43.0
742,1989-02-09,43.0
743,1989-02-10,44.0
744,1989-02-11,44.0
745,1989-02-12,43.0
746,1989-02-13,43.0
747,1989-02-14,45.0
748,1989-02-15,47.0
749,1989-02-16,47.0
750,1989-02-17,52.0
751,1989-02-18,71.0
752,1989-02-19,85.0
753,1989-02-20,89.0
754,1989-02-21,88.0
755,1989-02-22,91.0
756,1989-02-23,88.0
757,1989-02-24,89.0
758,1989-02-25,87.0
759,1989-02-26,87.0
760,1989-02-27,87.0
761,1989-02-28,87.0
762,1989-03-01,87.0
763,1989-03-02,87.0
764,1989-03-03,84.0
765,1989-03-04,87.0
766,1989-03-05,87.0
767,1989-03-06,88.0
768,1989-03-07,95.0
769,1989-03-08,103.0
770,1989-03-09,95.0
771,1989-03-10,89.0
772,1989-03-11,92.0
773,1989-03-12,92.0
774,1989-03-13,93.0
775,1989-03-14,95.0
776,1989-03-15,96.0
777,1989-03-16,95.0
778,1989-03-17,97.0
779,1989-03-18,98.0
780,1989-03-19,96.0
781,1989-03-20,95.0
782,1989-03-21,95.0
783,1989-03-22,95.0
784,1989-03-23,96.0
785,1989-03-24,98.0
786,1989-03-25,98.0
787,1989-03-26,98.0
788,1989-03-27,98.0
789,1989-03-28,95.0
790,1989-03-29,94.0
791,1989-03-30,95.0
792,1989-03-31,84.0
793,1989-04-01,92.0
794,1989-04-02,92.0
795,1989-04-03,82.0
796,1989-04-04,95.0
797,1989-04-05,92.0
798,1989-04-06,92.0
799,1989-04-07,82.0
800,1989-04-08,92.0
801,1989-04-09,89.0
802,1989-04-10,89.0
803,1989-04-11,91.0
804,1989-04-12,92.0
805,1989-04-13,92.0
806,1989-04-14,92.0
807,1989-04-15,92.0
808,1989-04-16,94.0
809,1989-04-17,98.0
810,1989-04-18,98.0
811,1989-04-19,98.0
812,1989-04-20,92.0
813,1989-04-21,183.0
814,1989-04-22,297.0
815,1989-04-23,326.0
816,1989-04-24,309.0
817,1989-04-25,291.0
818,1989-04-26,291.0
819,1989-04-27,291.0
820,1989-04-28,287.0
821,1989-04-29,285.0
822,1989-04-30,283.0
823,1989-05-01,283.0
824,1989-05-02,183.0
825,1989-05-03,81.0
826,1989-05-04,92.0
827,1989-05-05,89.0
828,1989-05-06,96.0
829,1989-05-07,98.0
830,1989-05-08,98.0
831,1989-05-09,98.0
832,1989-05-10,98.0
833,1989-05-11,98.0
834,1989-05-12,98.0
835,1989-05-13,99.0
836,1989-05-14,101.0
837,1989-05-15,101.0
838,1989-05-16,101.0
839,1989-05-17,101.0
840,1989-05-18,98.0
841,1989-05-19,98.0
842,1989-05-20,99.0
843,1989-05-21,101.0
844,1989-05-22,101.0
845,1989-05-23,101.0
846,1989-05-24,101.0
847,1989-05-25,98.0
848,1989-05-26,96.0
849,1989-05-27,98.0
850,1989-05-28,129.0
851,1989-05-29,300.0
852,1989-05-30,526.0
853,1989-05-31,633.0
854,1989-06-01,666.0
855,1989-06-02,686.0
856,1989-06-03,718.0
857,1989-06-04,654.0
858,1989-06-05,582.0
859,1989-06-06,537.0
860,1989-06-07,546.0
861,1989-06-08,540.0
862,1989-06-09,570.0
863,1989-06-10,648.0
864,1989-06-11,722.0
865,1989-06-12,804.0
866,1989-06-13,846.0
867,1989-06-14,846.0
868,1989-06-15,804.0
869,1989-06-16,877.0
870,1989-06-17,944.0
871,1989-06-18,958.0
872,1989-06-19,959.0
873,1989-06-20,860.0
874,1989-06-21,706.0
875,1989-06-22,603.0
876,1989-06-23,529.0
877,1989-06-24,435.0
878,1989-06-25,367.0
879,1989-06-26,304.0
880,1989-06-27,260.0
881,1989-06-28,249.0
882,1989-06-29,219.0
883,1989-06-30,197.0
884,1989-07-01,175.0
885,1989-07-02,161.0
886,1989-07-03,133.0
887,1989-07-04,121.0
888,1989-07-05,103.0
889,1989-07-06,80.0
890,1989-07-07,53.0
891,1989-07-08,54.0
892,1989-07-09,50.0
893,1989-07-10,70.0
894,1989-07-11,114.0
895,1989-07-12,72.0
896,1989-07-13,50.0
897,1989-07-14,50.0
898,1989-07-15,49.0
899,1989-07-16,49.0
900,1989-07-17,80.0
901,1989-07-18,74.0
902,1989-07-19,71.0
903,1989-07-20,89.0
904,1989-07-21,84.0
905,1989-07-22,80.0
906,1989-07-23,79.0
907,1989-07-24,79.0
908,1989-07-25,79.0
909,1989-07-26,79.0
910,1989-07-27,76.0
911,1989-07-28,78.0
912,1989-07-29,79.0
913,1989-07-30,84.0
914,1989-07-31,87.0
915,1989-08-01,81.0
916,1989-08-02,87.0
917,1989-08-03,87.0
918,1989-08-04,87.0
919,1989-08-05,89.0
920,1989-08-06,92.0
921,1989-08-07,70.0
922,1989-08-08,110.0
923,1989-08-09,145.0
924,1989-08-10,147.0
925,1989-08-11,143.0
926,1989-08-12,140.0
927,1989-08-13,140.0
928,1989-08-14,134.0
929,1989-08-15,129.0
930,1989-08-16,129.0
931,1989-08-17,129.0
932,1989-08-18,123.0
933,1989-08-19,123.0
934,1989-08-20,123.0
935,1989-08-21,123.0
936,1989-08-22,103.0
937,1989-08-23,81.0
938,1989-08-24,81.0
939,1989-08-25,84.0
940,1989-08-26,86.0
941,1989-08-27,91.0
942,1989-08-28,95.0
943,1989-08-29,94.0
944,1989-08-30,92.0
945,1989-08-31,87.0
946,1989-09-01,60.0
947,1989-09-02,46.0
948,1989-09-03,46.0
949,1989-09-04,46.0
950,1989-09-05,46.0
951,1989-09-06,46.0
952,1989-09-07,46.0
953,1989-09-08,45.0
954,1989-09-09,44.0
955,1989-09-10,44.0
956,1989-09-11,45.0
957,1989-09-12,46.0
958,1989-09-13,46.0
959,1989-09-14,46.0
960,1989-09-15,46.0
961,1989-09-16,46.0
962,1989-09-17,46.0
963,1989-09-18,46.0
964,1989-09-19,66.0
965,1989-09-20,101.0
966,1989-09-21,101.0
967,1989-09-22,101.0
968,1989-09-23,101.0
969,1989-09-24,101.0
970,1989-09-25,101.0
971,1989-09-26,102.0
972,1989-09-27,103.0
973,1989-09-28,103.0
974,1989-09-29,103.0
975,1989-09-30,103.0
976,1989-10-01,99.0
977,1989-10-02,100.0
978,1989-10-03,100.0
979,1989-10-04,78.0
980,1989-10-05,71.0
981,1989-10-06,65.0
982,1989-10-07,65.0
983,1989-10-08,65.0
984,1989-10-09,65.0
985,1989-10-10,65.0
986,1989-10-11,65.0
987,1989-10-12,65.0
988,1989-10-13,65.0
989,1989-10-14,65.0
990,1989-10-15,67.0
991,1989-10-16,67.0
992,1989-10-17,67.0
993,1989-10-18,85.0
994,1989-10-19,101.0
995,1989-10-20,101.0
996,1989-10-21,101.0
997,1989-10-22,101.0
998,1989-10-23,101.0
999,1989-10-24,101.0
1000,1989-10-25,86.0
1001,1989-10-26,77.0
1002,1989-10-27,76.0
1003,1989-10-28,77.0
1004,1989-10-29,76.0
1005,1989-10-30,76.0
1006,1989-10-31,76.0
1007,1989-11-01,76.0
1008,1989-11-02,76.0
1009,1989-11-03,76.0
1010,1989-11-04,76.0
1011,1989-11-05,77.0
1012,1989-11-06,77.0
1013,1989-11-07,76.0
1014,1989-11-08,77.0
1015,1989-11-09,77.0
1016,1989-11-10,76.0
1017,1989-11-11,75.0
1018,1989-11-12,76.0
1019,1989-11-13,91.0
1020,1989-11-14,101.0
1021,1989-11-15,101.0
1022,1989-11-16,101.0
1023,1989-11-17,101.0
1024,1989-11-18,101.0
1025,1989-11-19,101.0
1026,1989-11-20,101.0
1027,1989-11-21,101.0
1028,1989-11-22,101.0
1029,1989-11-23,101.0
1030,1989-11-24,100.0
1031,1989-11-25,100.0
1032,1989-11-26,101.0
1033,1989-11-27,101.0
1034,1989-11-28,101.0
1035,1989-11-29,100.0
1036,1989-11-30,98.0
1037,1989-12-01,98.0
1038,1989-12-02,99.0
1039,1989-12-03,98.0
1040,1989-12-04,98.0
1041,1989-12-05,98.0
1042,1989-12-06,98.0
1043,1989-12-07,98.0
1044,1989-12-08,98.0
1045,1989-12-09,99.0
1046,1989-12-10,98.0
1047,1989-12-11,98.0
1048,1989-12-12,98.0
1049,1989-12-13,98.0
1050,1989-12-14,100.0
1051,1989-12-15,101.0
1052,1989-12-16,101.0
1053,1989-12-17,101.0
1054,1989-12-18,101.0
1055,1989-12-19,101.0
1056,1989-12-20,101.0
1057,1989-12-21,101.0
1058,1989-12-22,101.0
1059,1989-12-23,101.0
1060,1989-12-24,101.0
1061,1989-12-25,101.0
1062,1989-12-26,101.0
1063,1989-12-27,101.0
1064,1989-12-28,101.0
1065,1989-12-29,101.0
1066,1989-12-30,101.0
