date,PREC_DAILY
1981-05-04,21.8
1981-05-05,21.8
1981-05-06,21.8
1981-05-07,21.8
1981-05-08,21.8
1981-05-09,21.8
1981-05-10,21.8
1981-05-11,21.8
1981-05-12,21.8
1981-05-13,21.9
1981-05-14,21.9
1981-05-15,22.0
1981-05-16,22.1
1981-05-17,22.2
1981-05-18,23.4
1981-05-19,23.5
1981-05-20,23.5
1981-05-21,23.5
1981-05-22,23.5
1981-05-23,23.5
1981-05-24,23.8
1981-05-25,23.8
1981-05-26,24.3
1981-05-27,24.3
1981-05-28,24.3
1981-05-29,24.3
1981-05-30,24.3
1981-05-31,24.3
1981-06-01,24.3
1981-06-02,24.3
1981-06-03,24.3
1981-06-04,24.4
1981-06-05,24.4
1981-06-06,24.4
1981-06-07,24.4
1981-06-08,24.4
1981-06-09,24.4
1981-06-10,24.4
1981-06-11,24.4
1981-06-12,24.4
1981-06-13,24.4
1981-06-14,24.4
1981-06-15,24.4
1981-06-16,24.4
1981-06-17,24.4
1981-06-18,24.5
1981-06-19,24.5
1981-06-20,24.5
1981-06-21,24.5
1981-06-22,24.5
1981-06-23,24.5
1981-06-24,24.5
1981-06-25,24.5
1981-06-26,24.5
1981-06-27,24.5
1981-06-28,24.5
1981-06-29,24.5
1981-06-30,24.5
1981-07-01,24.5
1981-07-02,24.5
1981-07-03,24.5
1981-07-04,24.5
1981-07-05,24.5
1981-07-06,24.5
1981-07-07,24.5
1981-07-08,24.5
1981-07-09,24.5
1981-07-10,24.5
1981-07-11,24.5
1981-07-12,24.5
1981-07-13,24.5
1981-07-14,24.5
1981-07-15,24.5
1981-07-16,24.5
1981-07-17,24.5
1981-07-18,24.5
1981-07-19,24.5
1981-07-20,24.5
1981-07-21,24.5
