date,PREC_DAILY,TAVG_DAILY,TMIN_DAILY,WTEQ_DAILY
1995-12-11,4.1,32.2,27.9,4.4
1995-12-12,7.0,29.1,20.7,5.5
1995-12-13,7.3,22.6,20.8,6.0
1995-12-14,8.1,21.6,15.8,6.0
1995-12-15,8.1,20.7,16.7,6.7
1995-12-16,8.5,17.2,14.2,6.7
1995-12-17,9.4,24.8,15.6,6.7
1995-12-18,9.4,23.9,18.0,6.7
1995-12-19,9.4,21.4,17.1,6.7
1995-12-20,9.4,18.5,15.1,6.7
1995-12-21,9.4,21.6,14.7,6.9
1995-12-22,9.5,21.6,13.8,7.2
1995-12-23,9.5,16.7,12.6,7.4
1995-12-24,9.5,20.8,14.4,7.4
1995-12-25,9.5,28.8,23.9,7.4
1995-12-26,9.5,31.1,27.3,7.5
1995-12-27,9.6,28.6,20.7,7.5
1995-12-28,9.7,23.9,17.2,7.5
1995-12-29,9.7,29.5,25.0,7.7
1995-12-30,9.8,34.9,32.2,7.5
1995-12-31,9.9,29.7,21.0,7.3
1996-01-01,9.9,31.1,20.7,7.2
1996-01-02,9.9,37.6,27.0,7.2
1996-01-03,9.9,31.3,25.2,7.2
1996-01-04,9.9,27.1,23.7,7.2
1996-01-05,9.9,30.2,21.9,7.1
1996-01-06,9.9,39.7,34.3,6.9
1996-01-07,9.9,38.3,35.2,6.9
1996-01-08,9.9,36.5,33.1,6.9
1996-01-09,9.9,31.3,24.6,6.9
1996-01-10,9.9,30.6,22.1,6.9
1996-01-11,9.9,41.2,37.0,7.1
1996-01-12,10.1,43.7,38.1,7.1
1996-01-13,10.1,37.8,33.6,7.1
1996-01-14,10.1,36.0,30.6,7.1
1996-01-15,10.7,28.8,24.6,7.8
1996-01-16,12.1,27.7,20.3,9.3
1996-01-17,12.2,17.6,13.8,9.7
1996-01-18,13.0,22.6,18.0,11.1
1996-01-19,13.5,18.3,16.0,11.9
1996-01-20,14.3,17.1,13.8,12.8
1996-01-21,15.1,15.3,10.0,13.8
1996-01-22,15.3,11.5,7.0,14.0
1996-01-23,15.9,18.0,13.8,14.6
1996-01-24,18.9,21.9,18.9,17.8
1996-01-25,19.1,14.7,9.0,18.0
1996-01-26,19.1,18.0,9.3,18.2
1996-01-27,22.0,23.2,16.2,21.3
1996-01-28,22.3,17.1,14.2,21.5
1996-01-29,22.6,20.1,14.7,21.7
1996-01-30,22.7,26.6,24.3,21.8
1996-01-31,22.8,27.9,23.7,21.9
1996-02-01,22.8,24.8,21.0,22.0
1996-02-02,22.8,24.8,18.3,22.0
1996-02-03,22.8,30.2,25.2,22.3
1996-02-04,25.1,33.1,31.5,25.4
1996-02-05,25.5,30.6,27.1,25.1
1996-02-06,25.5,32.9,26.1,24.9
1996-02-07,25.5,38.1,33.8,24.7
1996-02-08,25.6,40.8,38.8,24.5
1996-02-09,25.6,40.3,36.9,24.2
1996-02-10,25.6,37.0,33.1,24.1
1996-02-11,25.6,36.1,31.8,24.0
1996-02-12,25.6,35.4,29.3,23.9
1996-02-13,25.6,39.2,32.0,23.8
1996-02-14,25.6,41.2,35.6,23.8
1996-02-15,25.6,41.4,31.8,23.7
1996-02-16,25.8,33.4,32.0,24.0
1996-02-17,26.8,30.2,26.4,24.8
1996-02-18,27.8,26.8,24.6,26.0
1996-02-19,29.6,25.7,20.1,28.2
1996-02-20,31.0,24.1,20.7,29.9
1996-02-21,33.1,17.4,11.1,32.4
1996-02-22,33.5,12.9,7.7,32.9
1996-02-23,33.9,18.3,14.2,33.4
1996-02-24,34.4,11.1,5.9,34.0
1996-02-25,34.7,8.4,4.6,34.4
1996-02-26,34.8,6.3,1.0,34.5
1996-02-27,34.8,10.8,3.9,34.5
1996-02-28,34.8,14.7,8.4,34.5
1996-02-29,34.8,21.2,13.1,34.6
1996-03-01,34.8,25.9,18.0,34.6
1996-03-02,35.0,34.9,25.9,34.9
1996-03-03,35.0,31.1,24.1,34.9
1996-03-04,38.1,23.4,19.8,37.4
1996-03-05,39.7,15.6,9.1,38.7
1996-03-06,39.8,25.9,11.7,38.8
1996-03-07,40.0,34.5,26.1,39.0
1996-03-08,40.0,40.6,33.8,39.0
1996-03-09,40.0,39.9,33.8,39.0
1996-03-10,40.2,31.1,27.0,39.1
1996-03-11,40.3,25.0,21.6,40.2
1996-03-12,40.5,22.8,21.2,40.7
1996-03-13,40.5,23.2,21.0,40.7
1996-03-14,40.5,27.9,22.1,40.7
1996-03-15,40.6,35.1,27.7,40.7
1996-03-16,40.7,35.1,27.3,40.7
1996-03-17,41.5,40.5,32.5,40.7
1996-03-18,42.2,43.3,34.3,40.7
1996-03-19,42.2,42.6,36.9,40.7
1996-03-20,42.3,41.7,35.8,40.7
1996-03-21,42.4,38.8,30.9,40.7
1996-03-22,42.4,22.6,13.5,40.9
1996-03-23,42.5,18.7,12.0,40.9
1996-03-24,42.5,23.7,16.0,40.9
1996-03-25,42.5,19.0,14.2,40.9
1996-03-26,42.9,33.4,13.3,40.9
1996-03-27,42.9,28.4,22.3,41.7
1996-03-28,43.6,19.2,11.7,41.7
1996-03-29,43.6,25.3,12.0,41.7
1996-03-30,43.6,31.8,21.6,42.3
1996-03-31,43.7,34.3,27.1,43.0
1996-04-01,44.3,28.0,22.8,43.1
1996-04-02,45.1,26.4,19.8,43.1
1996-04-03,45.2,28.4,19.4,43.2
1996-04-04,45.3,30.2,22.3,43.2
1996-04-05,45.3,39.7,26.1,44.4
1996-04-06,45.4,46.9,38.5,45.0
1996-04-07,45.4,47.7,39.6,45.0
1996-04-08,45.5,44.8,38.5,45.2
1996-04-09,45.5,35.2,25.2,45.2
1996-04-10,45.6,28.6,21.4,45.3
1996-04-11,45.6,29.1,19.4,45.3
1996-04-12,45.6,25.9,19.2,45.3
1996-04-13,45.6,30.6,17.2,45.3
1996-04-14,45.6,40.5,30.0,45.3
1996-04-15,45.6,34.3,26.6,45.3
1996-04-16,47.1,25.7,20.5,46.8
1996-04-17,47.5,23.2,14.5,47.2
1996-04-18,47.8,21.0,12.0,47.5
1996-04-19,48.0,20.7,15.3,47.7
1996-04-20,48.1,22.5,12.0,47.8
1996-04-21,48.6,28.2,16.3,48.3
1996-04-22,49.0,35.8,24.1,48.3
1996-04-23,49.0,39.4,33.8,48.3
1996-04-24,49.0,34.5,29.3,48.2
1996-04-25,49.1,45.0,30.7,47.2
1996-04-26,49.1,44.4,35.8,46.4
1996-04-27,49.1,38.7,26.6,45.9
1996-04-28,49.1,34.3,23.0,45.5
1996-04-29,49.1,50.7,36.1,45.2
1996-04-30,49.1,48.7,42.3,44.9
1996-05-01,49.1,46.8,38.5,44.4
1996-05-02,49.1,39.6,31.6,43.7
1996-05-03,49.1,36.7,29.8,42.8
1996-05-04,49.1,37.9,30.6,41.9
1996-05-05,49.1,37.8,31.1,41.8
1996-05-06,49.1,39.4,32.9,41.6
1996-05-07,49.2,38.7,31.1,41.4
1996-05-08,49.2,37.4,30.6,39.9
1996-05-09,49.2,39.9,30.0,39.3
1996-05-10,49.2,46.9,34.3,38.4
1996-05-11,49.2,55.2,47.7,37.5
1996-05-12,49.3,54.9,44.6,36.5
1996-05-13,49.3,46.6,38.3,34.2
1996-05-14,49.4,38.3,34.5,32.9
1996-05-15,50.9,35.2,32.5,31.9
1996-05-16,52.6,32.7,31.5,32.8
1996-05-17,54.4,32.5,30.7,34.1
1996-05-18,55.2,28.9,26.2,34.1
1996-05-19,55.4,30.7,23.2,33.9
1996-05-20,55.4,36.9,24.4,33.8
1996-05-21,55.5,34.0,31.1,33.7
1996-05-22,55.5,34.0,27.0,33.4
1996-05-23,55.5,27.3,21.4,33.1
1996-05-24,55.5,32.0,21.4,33.1
1996-05-25,55.5,40.3,30.2,32.8
1996-05-26,55.5,44.6,37.4,32.4
1996-05-27,55.5,37.6,32.9,32.1
1996-05-28,55.5,40.6,33.4,31.2
1996-05-29,55.5,38.8,22.3,29.9
1996-05-30,55.5,39.6,29.1,29.5
1996-05-31,55.5,44.8,34.2,28.6
1996-06-01,55.6,51.4,39.7,28.3
1996-06-02,55.7,57.9,47.5,27.9
1996-06-03,55.7,59.5,50.4,26.9
1996-06-04,55.7,57.2,46.6,26.0
1996-06-05,55.7,60.3,52.3,25.0
1996-06-06,55.7,61.5,52.5,23.9
1996-06-07,55.7,60.1,49.5,22.8
1996-06-08,55.7,58.3,50.4,21.8
1996-06-09,55.7,54.5,46.9,20.9
1996-06-10,55.7,52.3,45.3,20.1
1996-06-11,55.7,52.5,42.3,19.0
1996-06-12,55.7,54.7,46.4,18.1
1996-06-13,55.7,54.3,47.1,17.0
1996-06-14,55.7,54.5,46.2,16.0
1996-06-15,55.7,53.8,45.0,14.8
1996-06-16,55.7,50.2,43.0,13.5
1996-06-17,55.7,46.6,39.0,12.0
1996-06-18,55.7,49.3,38.3,9.3
1996-06-19,55.7,50.2,39.4,8.3
1996-06-20,55.7,47.7,41.0,8.1
1996-06-21,55.7,46.2,38.1,8.0
1996-06-22,55.7,48.2,36.9,7.8
1996-06-23,55.7,47.1,37.8,4.9
1996-06-24,55.7,38.8,34.3,3.3
1996-06-25,55.7,33.4,28.9,1.6
1996-06-26,55.7,34.2,30.0,0.0
1996-06-27,55.9,35.4,28.4,0.0
1996-06-28,55.9,44.4,32.9,0.0
1996-06-29,55.9,54.5,41.7,0.0
1996-06-30,55.9,61.3,50.9,0.0
1996-07-01,55.9,65.3,57.2,0.0
1996-07-02,55.9,61.2,53.6,0.0
1996-07-03,55.9,57.2,48.0,0.0
1996-07-04,55.9,55.6,47.7,0.0
1996-07-05,55.9,59.7,47.5,0.0
1996-07-06,55.9,64.9,52.5,0.0
1996-07-07,55.9,66.6,57.7,0.0
1996-07-08,55.9,64.4,55.9,0.0
1996-07-09,55.9,64.2,55.6,0.0
1996-07-10,55.9,65.1,55.0,0.0
1996-07-11,55.9,65.5,57.2,0.0
1996-07-12,55.9,60.3,48.0,0.0
1996-07-13,56.2,59.0,49.5,0.0
1996-07-14,56.4,62.4,54.0,0.0
1996-07-15,56.4,59.4,49.3,0.0
1996-07-16,56.4,55.6,47.3,0.0
1996-07-17,56.4,51.4,43.0,0.0
1996-07-18,56.4,50.0,41.4,0.0
1996-07-19,56.5,56.1,44.2,0.0
1996-07-20,56.5,62.2,50.5,0.0
1996-07-21,56.5,66.9,56.3,0.0
